Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 59 jaar (KSZ-cijfers),Procent
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2416,30237,0.0799021
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2504,30382,0.0824172
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2545,30602,0.0831645
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2493,30804,0.080931
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2547,30888,0.0824592
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2396,30948,0.0774202
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2018,2311,30690,0.0753014
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2019,2170,30539,0.0710567
Heist-op-den-Berg,12014,Nee,Personen in gezin met zeer lage werkintensiteit,2020,2156,30492,0.0707071
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2009,2129,24993,0.0851839
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2010,2349,25114,0.0935335
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2011,2502,25320,0.0988152
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2491,25437,0.0979282
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2683,25557,0.104981
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2671,25331,0.105444
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2935,25405,0.115528
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2844,25514,0.111468
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2882,25640,0.112402
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2018,2819,25845,0.109073
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2019,2785,26182,0.106371
Lier,12021,Nee,Personen in gezin met zeer lage werkintensiteit,2020,2784,26394,0.105479
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2009,7521,61977,0.121351
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2010,8532,62660,0.136163
