Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 59 jaar (KSZ-cijfers),Procent
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2014,767,13493,0.0568443
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2015,779,13558,0.0574569
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2016,712,13538,0.0525927
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2017,751,13593,0.055249
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2018,731,13721,0.053276
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2019,754,13732,0.0549082
Londerzeel,23045,Nee,Personen in gezin met zeer lage werkintensiteit,2020,704,13743,0.0512261
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1084,10441,0.103821
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1148,10534,0.10898
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1285,10768,0.119335
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2012,1279,10924,0.117082
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1244,11122,0.11185
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1343,11358,0.118243
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1364,11514,0.118464
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1397,11807,0.11832
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1406,12123,0.115978
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1335,12354,0.108062
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1196,12428,0.0962343
Machelen,23047,Nee,Personen in gezin met zeer lage werkintensiteit,2020,1143,12543,0.0911265
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2009,901,14367,0.0627132
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1007,14261,0.0706122
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2011,910,14100,0.064539
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2012,985,14038,0.0701667
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1011,13914,0.0726606
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1083,13929,0.0777515
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1072,13867,0.0773058
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1045,13879,0.0752936
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1020,13856,0.0736143
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1015,13911,0.0729638
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2019,978,13990,0.0699071
Meise,23050,Nee,Personen in gezin met zeer lage werkintensiteit,2020,941,14037,0.0670371
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2009,663,11638,0.0569686
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2010,708,11806,0.0599695
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2011,771,11936,0.0645945
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2012,728,11962,0.0608594
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2013,809,12063,0.0670646
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2014,826,12095,0.0682927
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2015,840,12051,0.0697038
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2016,887,12140,0.0730643
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2017,769,12076,0.06368
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2018,837,12160,0.0688322
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2019,861,12299,0.0700057
Merchtem,23052,Nee,Personen in gezin met zeer lage werkintensiteit,2020,778,12341,0.0630419
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2009,456,10097,0.0451619
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2010,500,10277,0.0486523
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2011,479,10406,0.0460311
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2012,503,10573,0.047574
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2013,556,10806,0.0514529
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2014,551,10727,0.0513657
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2015,652,10787,0.0604431
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2016,653,10814,0.0603847
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2017,653,10864,0.0601068
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2018,622,10779,0.0577048
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2019,684,10869,0.0629313
Opwijk,23060,Nee,Personen in gezin met zeer lage werkintensiteit,2020,650,10975,0.0592255
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2009,2857,18483,0.154574
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2010,2799,18405,0.152078
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2011,2741,18345,0.149414
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2678,18426,0.145338
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2633,18341,0.143558
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2517,18198,0.138312
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2418,18241,0.132559
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2413,18341,0.131563
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2311,18353,0.125919
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2018,2326,18436,0.126166
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2019,2175,18577,0.11708
Overijse,23062,Nee,Personen in gezin met zeer lage werkintensiteit,2020,2030,18622,0.109011
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2009,118,3445,0.0342525
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2010,121,3429,0.0352873
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2011,129,3468,0.0371972
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2012,112,3421,0.032739
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2013,124,3416,0.0362998
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2014,134,3331,0.0402282
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2015,130,3322,0.0391331
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2016,131,3303,0.0396609
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2017,132,3278,0.0402685
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2018,120,3202,0.0374766
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2019,116,3273,0.0354415
Pepingen,23064,Nee,Personen in gezin met zeer lage werkintensiteit,2020,110,3305,0.0332829
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2009,2176,23681,0.091888
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2010,2232,23824,0.093687
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2011,2304,24041,0.0958363
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2309,24350,0.0948255
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2423,24779,0.0977844
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2522,24925,0.101184
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2593,25171,0.103015
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2686,25351,0.105952
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2469,25490,0.0968615
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2018,2458,25632,0.0958958
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2019,2386,25733,0.0927214
Sint-Pieters-Leeuw,23077,Nee,Personen in gezin met zeer lage werkintensiteit,2020,2252,26013,0.0865721
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2009,512,8695,0.0588844
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2010,495,8711,0.0568247
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2011,877,9111,0.0962573
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2012,764,9086,0.0840854
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2013,663,8875,0.0747042
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2014,757,8979,0.0843078
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2015,792,9085,0.0871767
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2016,673,9049,0.0743729
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2017,625,8939,0.0699183
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2018,625,9001,0.0694367
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2019,604,9001,0.0671037
Steenokkerzeel,23081,Nee,Personen in gezin met zeer lage werkintensiteit,2020,552,9072,0.0608466
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2009,592,11507,0.0514469
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2010,584,11490,0.0508268
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2011,617,11499,0.0536568
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2012,629,11453,0.0549201
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2013,587,11558,0.0507873
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2014,616,11484,0.0536398
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2015,629,11426,0.0550499
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2016,637,11323,0.0562572
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2017,624,11342,0.0550168
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2018,650,11344,0.057299
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2019,643,11498,0.0559228
Ternat,23086,Nee,Personen in gezin met zeer lage werkintensiteit,2020,632,11676,0.0541281
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2009,3170,30926,0.102503
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2010,3517,31441,0.11186
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2011,3633,32319,0.112411
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2012,3635,32777,0.110901
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2013,3682,33202,0.110897
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2014,3759,33511,0.112172
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2015,3771,34030,0.110814
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2016,3878,34472,0.112497
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2017,3807,35073,0.108545
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2018,3690,35304,0.104521
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2019,3496,35783,0.0977
Vilvoorde,23088,Nee,Personen in gezin met zeer lage werkintensiteit,2020,3363,36543,0.0920286
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2009,3876,23268,0.166581
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2010,4063,23745,0.17111
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2011,4196,24386,0.172066
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2012,4312,24783,0.17399
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2013,4346,25061,0.173417
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2014,4573,25401,0.180032
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2015,4596,25596,0.179559
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2016,4409,25843,0.170607
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2017,4173,26196,0.159299
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2018,4033,26365,0.152968
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2019,4038,26822,0.150548
Zaventem,23094,Nee,Personen in gezin met zeer lage werkintensiteit,2020,3852,27048,0.142413
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2009,797,17134,0.0465157
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2010,774,17168,0.0450839
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2011,776,17097,0.0453881
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2012,833,17173,0.0485064
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2013,864,17269,0.0500318
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2014,856,17286,0.0495198
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2015,904,17266,0.0523572
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2016,917,17447,0.0525592
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2017,842,17480,0.0481693
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2018,769,17390,0.0442208
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2019,733,17300,0.0423699
Zemst,23096,Nee,Personen in gezin met zeer lage werkintensiteit,2020,729,17062,0.0427265
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2009,523,8569,0.061034
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2010,535,8591,0.0622745
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2011,542,8651,0.0626517
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2012,532,8612,0.0617743
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2013,498,8567,0.05813
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2014,540,8564,0.0630546
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2015,515,8591,0.0599465
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2016,489,8653,0.0565122
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2017,452,8680,0.0520737
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2018,484,8612,0.0562007
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2019,480,8563,0.0560551
Roosdaal,23097,Nee,Personen in gezin met zeer lage werkintensiteit,2020,480,8508,0.0564175
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2009,492,3725,0.132081
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2010,497,3783,0.131377
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2011,487,3789,0.12853
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2012,478,3858,0.123898
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2013,456,3908,0.116684
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2014,430,3929,0.109443
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2015,495,4036,0.122646
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2016,531,4181,0.127003
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2017,575,4250,0.135294
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2018,588,4354,0.135048
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2019,578,4432,0.130415
Drogenbos,23098,Nee,Personen in gezin met zeer lage werkintensiteit,2020,519,4412,0.117634
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2009,2591,10107,0.256357
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2010,2718,10290,0.26414
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2011,2737,10243,0.267207
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2819,10406,0.270901
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2774,10401,0.266705
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2773,10352,0.267871
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2735,10375,0.263614
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2723,10411,0.26155
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2596,10314,0.251697
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2018,2592,10309,0.251431
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2019,2557,10334,0.247436
Kraainem,23099,Nee,Personen in gezin met zeer lage werkintensiteit,2020,2504,10393,0.240931
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2009,404,3664,0.110262
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2010,397,3633,0.109276
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2011,450,3669,0.122649
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2012,412,3649,0.112908
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2013,391,3641,0.107388
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2014,401,3594,0.111575
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2015,438,3577,0.122449
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2016,460,3568,0.128924
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2017,466,3513,0.13265
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2018,447,3516,0.127133
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2019,394,3412,0.115475
Linkebeek,23100,Nee,Personen in gezin met zeer lage werkintensiteit,2020,426,3419,0.124598
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1950,13936,0.139925
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1917,13838,0.138532
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1821,13702,0.1329
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2012,1786,13638,0.130958
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1739,13578,0.128075
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1810,13590,0.133186
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1726,13521,0.127653
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1768,13648,0.129543
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1693,13620,0.124302
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1620,13596,0.119153
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1629,13649,0.119349
Sint-Genesius-Rode,23101,Nee,Personen in gezin met zeer lage werkintensiteit,2020,1536,13653,0.112503
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1124,11230,0.100089
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1175,11292,0.104056
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1248,11392,0.109551
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2012,1180,11444,0.103111
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1221,11576,0.105477
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1216,11616,0.104683
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1263,11693,0.108013
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1307,11981,0.109089
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1229,11987,0.102528
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1226,12166,0.100773
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1215,12303,0.0987564
Wemmel,23102,Nee,Personen in gezin met zeer lage werkintensiteit,2020,1258,12559,0.100167
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2009,2056,10550,0.194882
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2010,2101,10515,0.19981
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2011,2100,10507,0.199867
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2206,10581,0.208487
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2150,10590,0.203022
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2084,10498,0.198514
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2094,10562,0.198258
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2132,10569,0.201722
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2064,10437,0.197758
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1971,10334,0.19073
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1958,10491,0.186636
Wezembeek-Oppem,23103,Nee,Personen in gezin met zeer lage werkintensiteit,2020,1909,10461,0.182487
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2009,309,6658,0.0464103
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2010,323,6612,0.0488506
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2011,344,6611,0.0520345
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2012,332,6588,0.0503947
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2013,369,6512,0.0566646
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2014,356,6502,0.0547524
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2015,340,6484,0.0524368
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2016,338,6504,0.051968
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2017,346,6448,0.05366
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2018,370,6384,0.0579574
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2019,364,6355,0.0572777
Lennik,23104,Nee,Personen in gezin met zeer lage werkintensiteit,2020,358,6356,0.0563247
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2009,600,9531,0.0629525
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2010,562,9500,0.0591579
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2011,567,9506,0.0596465
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2012,634,9618,0.0659181
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2013,645,9782,0.0659374
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2014,644,9844,0.0654206
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2015,606,9830,0.061648
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2016,611,9836,0.0621187
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2017,568,9817,0.0578588
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2018,535,9865,0.0542321
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2019,567,9823,0.0577217
Affligem,23105,Nee,Personen in gezin met zeer lage werkintensiteit,2020,541,9900,0.0546465
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1551,20674,0.0750218
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1633,20754,0.0786836
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1689,20850,0.0810072
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2012,1696,20871,0.0812611
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1752,20931,0.0837036
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1815,20927,0.0867301
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1840,21027,0.0875065
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1782,21091,0.084491
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1732,21057,0.0822529
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1731,21184,0.0817126
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1625,21174,0.0767451
Aarschot,24001,Nee,Personen in gezin met zeer lage werkintensiteit,2020,1570,21138,0.0742738
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2009,418,7444,0.0561526
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2010,433,7498,0.0577487
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2011,439,7477,0.0587134
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2012,454,7548,0.0601484
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2013,445,7473,0.0595477
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2014,454,7469,0.0607846
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2015,476,7400,0.0643243
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2016,457,7341,0.0622531
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2017,382,7224,0.0528793
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2018,402,7223,0.0556555
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2019,367,7197,0.0509935
Begijnendijk,24007,Nee,Personen in gezin met zeer lage werkintensiteit,2020,394,7254,0.0543149
