Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Boechout,11004,Nee,Personen met (equivalent) leefloon,2014,29,12804,0.00226492
Boechout,11004,Nee,Personen met (equivalent) leefloon,2015,40,12792,0.00312695
Boechout,11004,Nee,Personen met (equivalent) leefloon,2016,41,12844,0.00319215
Boechout,11004,Nee,Personen met (equivalent) leefloon,2017,51,12908,0.00395104
Boechout,11004,Nee,Personen met (equivalent) leefloon,2018,64,13120,0.00487805
Boechout,11004,Nee,Personen met (equivalent) leefloon,2019,64,13266,0.00482436
Boechout,11004,Nee,Personen met (equivalent) leefloon,2020,72,13372,0.00538439
Boechout,11004,Nee,Personen met (equivalent) leefloon,2021,64,13527,0.00473128
Boechout,11004,Nee,Personen met (equivalent) leefloon,2022,71,13733,0.00517003
Boom,11005,Nee,Personen met (equivalent) leefloon,2003,168,15330,0.0109589
Boom,11005,Nee,Personen met (equivalent) leefloon,2004,179,15567,0.0114987
Boom,11005,Nee,Personen met (equivalent) leefloon,2005,138,15729,0.0087736
Boom,11005,Nee,Personen met (equivalent) leefloon,2006,134,16096,0.00832505
Boom,11005,Nee,Personen met (equivalent) leefloon,2007,107,16326,0.00655396
Boom,11005,Nee,Personen met (equivalent) leefloon,2008,75,16444,0.00456093
Boom,11005,Nee,Personen met (equivalent) leefloon,2009,76,16598,0.00457886
Boom,11005,Nee,Personen met (equivalent) leefloon,2010,100,16709,0.0059848
Boom,11005,Nee,Personen met (equivalent) leefloon,2011,93,16989,0.00547413
Boom,11005,Nee,Personen met (equivalent) leefloon,2012,84,17166,0.00489339
Boom,11005,Nee,Personen met (equivalent) leefloon,2013,64,17227,0.0037151
Boom,11005,Nee,Personen met (equivalent) leefloon,2014,56,17231,0.00324996
Boom,11005,Nee,Personen met (equivalent) leefloon,2015,62,17559,0.00353095
Boom,11005,Nee,Personen met (equivalent) leefloon,2016,72,17737,0.00405931
Boom,11005,Nee,Personen met (equivalent) leefloon,2017,58,17788,0.00326063
Boom,11005,Nee,Personen met (equivalent) leefloon,2018,59,17970,0.00328325
Boom,11005,Nee,Personen met (equivalent) leefloon,2019,81,18244,0.00443982
Boom,11005,Nee,Personen met (equivalent) leefloon,2020,69,18555,0.00371867
Boom,11005,Nee,Personen met (equivalent) leefloon,2021,90,18799,0.00478749
Boom,11005,Nee,Personen met (equivalent) leefloon,2022,112,18832,0.00594732
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2003,78,10298,0.00757429
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2004,113,10304,0.0109666
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2005,82,10304,0.00795807
