Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers),Procent
Halle,23027,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,599,8068,0.0742439
Halle,23027,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,647,8148,0.079406
Halle,23027,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,569,8220,0.0692214
Halle,23027,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,594,8458,0.0702294
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,64,1372,0.0466472
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,67,1347,0.0497402
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,52,1371,0.0379285
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,35,1324,0.026435
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,43,1295,0.0332046
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,43,1268,0.0339117
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,54,1285,0.0420233
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,73,1283,0.0568979
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,62,1286,0.0482115
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,54,1287,0.041958
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,55,1305,0.0421456
Herne,23032,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,35,1281,0.0273224
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,319,2316,0.137737
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,334,2344,0.142491
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,332,2355,0.140977
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,347,2434,0.142564
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,323,2424,0.133251
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,358,2461,0.145469
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,372,2506,0.148444
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,356,2502,0.142286
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,345,2560,0.134766
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,336,2573,0.130587
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,357,2595,0.137572
Hoeilaart,23033,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,336,2583,0.130081
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,102,2420,0.0421488
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,87,2406,0.0361596
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,87,2387,0.0364474
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,81,2370,0.0341772
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,87,2406,0.0361596
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,111,2430,0.045679
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,115,2428,0.0473641
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,115,2437,0.0471892
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,133,2448,0.0543301
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,108,2448,0.0441176
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,105,2429,0.0432277
Kampenhout,23038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,82,2458,0.0333605
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,30,1715,0.0174927
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,49,1745,0.0280802
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,53,1738,0.0304948
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,50,1742,0.0287026
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,53,1734,0.0305652
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,59,1705,0.0346041
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,74,1778,0.0416198
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,81,1797,0.0450751
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,91,1788,0.0508949
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,93,1771,0.0525127
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,80,1740,0.045977
Kapelle-op-den-Bos,23039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,93,1788,0.0520134
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,133,2369,0.0561418
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,148,2405,0.0615385
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,164,2463,0.0665855
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,180,2502,0.0719424
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,200,2487,0.0804182
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,209,2562,0.0815769
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,223,2586,0.0862336
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,194,2568,0.0755452
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,218,2639,0.082607
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,206,2684,0.0767511
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,205,2730,0.0750916
Liedekerke,23044,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,185,2772,0.0667388
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,110,3490,0.0315186
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,108,3461,0.0312049
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,135,3428,0.0393816
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,136,3442,0.0395119
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,124,3457,0.0358693
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,172,3489,0.0492978
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,178,3487,0.0510467
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,176,3519,0.0500142
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,186,3552,0.0523649
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,190,3628,0.0523705
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,195,3633,0.0536746
Londerzeel,23045,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,211,3686,0.0572436
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,379,3135,0.120893
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,382,3155,0.121078
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,445,3220,0.138199
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,435,3320,0.131024
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,421,3427,0.122848
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,446,3501,0.127392
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,476,3615,0.131674
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,472,3718,0.12695
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,495,3856,0.128371
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,439,3926,0.111819
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,387,3961,0.0977026
Machelen,23047,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,375,3982,0.0941738
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,222,3772,0.0588547
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,248,3709,0.0668644
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,215,3673,0.0585353
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,244,3661,0.0666485
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,256,3607,0.0709731
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,286,3604,0.0793563
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,259,3627,0.0714089
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,254,3694,0.0687602
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,266,3723,0.0714478
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,265,3779,0.0701244
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,254,3809,0.0666842
Meise,23050,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,246,3869,0.0635823
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,146,3059,0.047728
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,144,3078,0.0467836
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,170,3066,0.0554468
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,177,3063,0.0577865
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,196,3075,0.0637398
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,200,3084,0.0648508
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,207,3087,0.0670554
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,224,3124,0.0717029
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,165,3101,0.0532086
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,204,3149,0.0647825
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,226,3210,0.070405
Merchtem,23052,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,202,3239,0.0623649
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,96,2687,0.0357276
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,102,2743,0.0371856
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,113,2795,0.0404293
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,108,2881,0.037487
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,147,3009,0.0488534
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,144,3012,0.0478088
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,173,3071,0.0563334
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,177,3055,0.0579378
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,175,3093,0.0565794
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,172,3079,0.0558623
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,204,3125,0.06528
Opwijk,23060,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,174,3176,0.0547859
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,854,5470,0.156124
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,842,5492,0.153314
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,828,5478,0.15115
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,788,5476,0.143901
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,787,5445,0.144536
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,751,5415,0.138689
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,726,5395,0.134569
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,722,5422,0.133161
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,671,5418,0.123846
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,658,5369,0.122555
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,609,5440,0.111949
Overijse,23062,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,530,5460,0.0970696
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,11,923,0.0119177
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,19,932,0.0203863
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,28,969,0.0288958
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,19,949,0.0200211
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,30,941,0.031881
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,25,910,0.0274725
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,24,908,0.0264317
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,29,918,0.0315904
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,28,900,0.0311111
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,24,858,0.027972
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,29,898,0.032294
Pepingen,23064,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,31,898,0.0345212
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,601,6602,0.091033
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,599,6614,0.0905655
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,639,6706,0.0952878
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,645,6844,0.0942431
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,690,7011,0.0984168
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,732,7151,0.102363
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,762,7295,0.104455
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,820,7402,0.110781
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,752,7480,0.100535
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,723,7532,0.0959904
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,705,7557,0.093291
Sint-Pieters-Leeuw,23077,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,680,7677,0.0885763
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,104,2412,0.0431177
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,106,2419,0.0438198
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,122,2440,0.05
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,111,2456,0.0451954
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,126,2460,0.0512195
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,140,2470,0.0566802
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,144,2490,0.0578313
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,121,2507,0.0482649
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,143,2530,0.0565217
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,158,2556,0.0618153
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,120,2547,0.0471143
Steenokkerzeel,23081,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,149,2625,0.0567619
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,115,3026,0.038004
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,95,3003,0.031635
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,118,2966,0.0397842
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,127,2970,0.0427609
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,121,3017,0.0401061
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,130,3000,0.0433333
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,139,3016,0.0460875
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,152,2996,0.0507343
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,150,3046,0.0492449
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,155,3067,0.050538
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,171,3133,0.0545803
Ternat,23086,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,162,3265,0.0496172
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,991,9369,0.105774
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,1136,9584,0.118531
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,1156,9844,0.117432
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,1196,10020,0.119361
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,1174,10213,0.114952
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,1211,10384,0.116622
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,1213,10607,0.114358
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,1251,10767,0.116188
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,1203,11035,0.109017
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,1178,11111,0.106021
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,1101,11273,0.097667
Vilvoorde,23088,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,1041,11572,0.0899585
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,1114,6464,0.172339
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,1167,6610,0.176551
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,1210,6817,0.177497
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,1259,6991,0.180089
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,1282,7120,0.180056
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,1334,7194,0.185432
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,1326,7313,0.181321
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,1253,7428,0.168686
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,1216,7603,0.159937
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,1175,7725,0.152104
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,1147,7856,0.146003
Zaventem,23094,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,1125,7965,0.141243
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,146,4615,0.031636
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,144,4577,0.0314617
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,146,4558,0.0320316
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,163,4617,0.0353043
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,161,4642,0.0346833
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,187,4678,0.0399743
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,171,4671,0.0366089
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,188,4730,0.0397463
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,151,4724,0.0319644
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,136,4744,0.0286678
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,132,4739,0.027854
Zemst,23096,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,156,4724,0.0330229
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,146,2383,0.0612673
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,138,2369,0.0582524
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,132,2370,0.0556962
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,121,2317,0.0522227
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,124,2323,0.0533793
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,134,2333,0.0574368
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,120,2312,0.0519031
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,113,2337,0.0483526
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,101,2369,0.042634
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,113,2338,0.0483319
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,124,2303,0.0538428
Roosdaal,23097,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,122,2278,0.0535558
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,157,1064,0.147556
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,135,1094,0.1234
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,143,1103,0.129646
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,136,1114,0.122083
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,129,1134,0.113757
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,120,1157,0.103717
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,148,1186,0.124789
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,159,1222,0.130115
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,165,1230,0.134146
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,166,1269,0.130812
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,186,1329,0.139955
Drogenbos,23098,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,160,1326,0.120664
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,788,2883,0.273326
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,824,2944,0.279891
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,828,2898,0.285714
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,856,3001,0.285238
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,851,3016,0.282162
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,834,3060,0.272549
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,808,3038,0.265964
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,802,3056,0.262435
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,735,3009,0.244267
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,764,3080,0.248052
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,737,3099,0.237819
Kraainem,23099,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,712,3140,0.226752
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,121,1082,0.11183
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,115,1059,0.108593
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,127,1078,0.117811
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,115,1038,0.11079
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,106,1013,0.10464
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,112,993,0.11279
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,120,994,0.120724
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,124,985,0.125888
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,131,991,0.13219
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,120,988,0.121457
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,92,960,0.0958333
Linkebeek,23100,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,98,960,0.102083
Sint-Genesius-Rode,23101,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,617,4232,0.145794
Sint-Genesius-Rode,23101,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,596,4190,0.142243
Sint-Genesius-Rode,23101,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,552,4111,0.134274
Sint-Genesius-Rode,23101,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,530,4108,0.129017
Sint-Genesius-Rode,23101,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,530,4102,0.129205
