Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers),Procent
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,106,2526,0.0419636
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,118,2513,0.0469558
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,109,2506,0.0434956
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,125,2476,0.0504847
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,145,2437,0.0594994
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,152,2420,0.0628099
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,185,2464,0.0750812
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,179,2456,0.0728827
Boechout,11004,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,171,2472,0.0691748
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,320,3551,0.0901155
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,438,3588,0.122074
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,471,3687,0.127746
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,422,3762,0.112174
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,512,3813,0.134277
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,558,3868,0.144261
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,536,3979,0.134707
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,538,4095,0.13138
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,497,4109,0.120954
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,435,4114,0.105737
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,441,4202,0.10495
Boom,11005,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,486,4313,0.112683
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,138,1827,0.0755337
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,156,1848,0.0844156
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,173,1854,0.0933118
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,168,1865,0.0900804
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,175,1877,0.0932339
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,194,1980,0.0979798
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,207,1975,0.10481
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,214,2020,0.105941
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,225,2091,0.107604
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,228,2161,0.105507
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,240,2260,0.106195
Borsbeek,11007,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,259,2285,0.113348
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,646,6831,0.0945689
