Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Totaal netto belastbaar inkomen 
(in miljoen euro)","Aantal fiscale aangiften 
(zonder nulaangiften)","Gemiddeld inkomen, per aangifte 
(in euro)"
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2011,7265.27,285142,25479.5
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2012,7534.32,282678,26653.4
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2013,7684.51,282801,27172.8
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2014,8019.64,286590,27983.0
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2015,8111.52,288485,28117.6
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2016,8181.49,290027,28209.4
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2017,8414.38,291991,28817.2
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2018,8633.34,293862,29378.9
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2019,8882.94,294773,30134.9
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",2020,9112.42,292520,31151.4
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1991,101.88,4765,21380.9
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1992,110.66,4829,22915.7
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1993,115.44,4894,23588.1
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1994,120.92,4877,24793.9
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1995,128.24,5208,24623.7
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1996,134.06,5383,24904.3
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1997,139.49,5520,25269.9
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1998,146.11,5650,25860.2
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",1999,150.78,5508,27374.7
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2000,156.41,5608,27890.5
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2001,167.62,5691,29453.5
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2002,168.61,5698,29591.1
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2003,175.232,5696,30764.1
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2004,181.931,6107,29790.6
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2005,189.653,6621,28644.2
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2006,202.451,6812,29719.7
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2007,210.86,7014,30062.8
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2008,225.802,7191,31400.6
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2009,235.235,7232,32527.0
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2010,237.173,7286,32551.9
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2011,246.504,7239,34052.3
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2012,256.125,7187,35637.3
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2013,264.436,7201,36722.2
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2014,274.902,7195,38207.4
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2015,277.592,7259,38241.1
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2016,289.34,7372,39248.5
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2017,295.933,7428,39840.3
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2018,304.383,7579,40161.3
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2019,312.612,7613,41062.9
Boechout,11004,Nee,"Gemiddeld inkomen, per aangifte",2020,328.589,7654,42930.4
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1991,112.15,6276,17869.7
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1992,120.72,6259,19287.4
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1993,125.83,6408,19636.4
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1994,128.43,6323,20311.6
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1995,139.27,6801,20477.9
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1996,145.71,7001,20812.7
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1997,148.44,7033,21106.2
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1998,162.89,7976,20422.5
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",1999,172.11,8414,20455.2
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2000,179.31,8441,21242.7
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2001,186.08,8494,21907.2
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2002,198.41,8661,22908.4
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2003,204.216,8664,23570.7
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2004,211.527,9167,23074.9
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2005,220.883,9374,23563.4
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2006,230.628,9613,23991.3
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2007,239.697,9682,24757.0
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2008,253.347,9787,25886.1
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2009,256.917,9767,26304.6
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2010,260.794,9825,26543.9
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2011,266.082,9773,27226.2
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2012,274.603,9725,28236.8
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2013,280.455,9705,28898.0
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2014,297.056,9882,30060.3
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2015,298.573,9940,30037.5
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2016,300.55,9986,30097.1
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2017,311.473,10115,30793.2
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2018,320.782,10281,31201.4
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2019,336.027,10332,32523.0
Boom,11005,Nee,"Gemiddeld inkomen, per aangifte",2020,344.046,10399,33084.5
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1991,96.5,4688,20584.5
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1992,104.31,4649,22437.1
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1993,108.23,4702,23017.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1994,111.43,4764,23390.0
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1995,114.63,4892,23432.1
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1996,117.95,4942,23866.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1997,123.03,5033,24444.7
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1998,125.05,5072,24655.0
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",1999,130.3,5245,24842.7
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2000,133.99,5251,25517.0
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2001,143.23,5378,26632.6
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2002,145.82,5511,26459.8
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2003,148.343,5885,25207.0
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2004,153.007,6044,25315.5
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2005,156.613,6099,25678.5
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2006,162.042,6195,26156.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2007,166.692,6196,26903.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2008,173.696,6237,27849.3
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2009,177.506,6138,28919.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2010,176.664,6167,28646.6
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2011,181.125,6166,29374.7
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2012,186.363,6036,30875.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2013,189.059,6040,31301.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2014,196.17,6090,32211.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2015,201.609,6117,32958.8
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2016,197.908,6108,32401.4
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2017,201.62,6130,32890.7
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2018,204.409,6171,33124.1
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2019,208.378,6202,33598.4
Borsbeek,11007,Nee,"Gemiddeld inkomen, per aangifte",2020,214.791,6176,34778.3
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1991,348.17,15090,23072.9
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1992,388.55,15037,25839.6
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1993,397.47,15154,26228.7
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1994,409.62,15184,26977.1
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1995,422.68,15867,26638.9
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1996,439.32,16119,27254.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1997,458.48,16273,28174.3
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1998,472.43,16659,28358.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",1999,490.33,16872,29061.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2000,497.37,17132,29031.6
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2001,533.37,17445,30574.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2002,554.61,18337,30245.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2003,582.575,20582,28305.1
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2004,594.528,20705,28714.2
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2005,630.735,20862,30233.7
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2006,646.112,21146,30554.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2007,666.774,21303,31299.5
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2008,701.411,21489,32640.5
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2009,696.635,21369,32600.3
