Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Totaal netto belastbaar inkomen 
(in miljoen euro)","Aantal fiscale aangiften 
(zonder nulaangiften)","Gemiddeld inkomen, per aangifte 
(in euro)"
Halle,23027,Nee,"Gemiddeld inkomen, per aangifte",2017,763.502,22379,34116.9
Halle,23027,Nee,"Gemiddeld inkomen, per aangifte",2018,785.537,22699,34606.7
Halle,23027,Nee,"Gemiddeld inkomen, per aangifte",2019,809.284,22826,35454.5
Halle,23027,Nee,"Gemiddeld inkomen, per aangifte",2020,837.875,22982,36457.9
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1991,49.43,2502,19756.2
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1992,54.14,2438,22206.7
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1993,57.09,2541,22467.5
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1994,60.91,2577,23636.0
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1995,64.13,2687,23866.8
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1996,66.93,2689,24890.3
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1997,70.33,2746,25611.8
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1998,73.03,2818,25915.5
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",1999,75.69,2876,26317.8
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2000,79.93,2889,27667.0
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2001,82.08,2947,27852.1
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2002,89.14,3227,27623.2
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2003,91.6845,3494,26240.6
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2004,95.8509,3526,27184.0
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2005,99.9092,3565,28025.0
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2006,103.36,3624,28521.0
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2007,109.253,3666,29801.6
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2008,116.473,3695,31521.7
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2009,118.76,3683,32245.5
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2010,119.601,3718,32168.1
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2011,123.606,3679,33597.8
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2012,127.101,3632,34994.9
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2013,131.958,3660,36054.1
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2014,138.612,3700,37462.8
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2015,135.288,3684,36723.2
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2016,138.941,3679,37766.0
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2017,141.147,3731,37830.8
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2018,147.505,3696,39909.4
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2019,152.251,3721,40916.6
Herne,23032,Nee,"Gemiddeld inkomen, per aangifte",2020,155.403,3746,41484.9
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1991,81.9,3730,21957.1
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1992,90.06,3621,24871.6
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1993,92.09,3615,25474.4
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1994,96.33,3710,25965.0
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1995,101.49,3906,25983.1
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1996,105.6,3971,26592.8
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1997,106.97,4058,26360.3
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1998,113.99,4193,27185.8
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",1999,119.81,4263,28104.6
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2000,126.87,4226,30021.3
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2001,133.88,4287,31229.3
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2002,141.66,4471,31684.2
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2003,142.652,4858,29364.4
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2004,153.231,5077,30181.5
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2005,158.729,5246,30257.2
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2006,167.321,5271,31743.7
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2007,178.428,5381,33159.0
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2008,188.814,5347,35312.1
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2009,195.887,5353,36593.9
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2010,195.757,5410,36184.3
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2011,209.333,5445,38445.0
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2012,215.336,5375,40062.5
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2013,219.634,5374,40869.7
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2014,235.154,5493,42809.7
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2015,234.609,5577,42067.3
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2016,243.588,5641,43181.7
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2017,254.537,5720,44499.4
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2018,261.524,5786,45199.5
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2019,270.271,5868,46058.4
Hoeilaart,23033,Nee,"Gemiddeld inkomen, per aangifte",2020,283.847,5860,48438.0
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1991,88.85,4003,22195.9
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1992,96.5,3954,24405.7
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1993,100.87,3933,25647.1
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1994,109.92,4016,27370.5
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1995,113.14,4182,27054.0
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1996,117.4,4307,27258.0
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1997,123.2,4489,27444.9
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1998,132.38,4587,28859.8
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",1999,139.54,4636,30099.2
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2000,144.68,4716,30678.5
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2001,154.09,4802,32088.7
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2002,161.82,4963,32605.3
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2003,177.057,5927,29873.0
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2004,181.462,6029,30098.2
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2005,188.614,6093,30955.9
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2006,194.19,6160,31524.4
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2007,203.951,6272,32517.8
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2008,218.08,6320,34506.4
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2009,218.225,6347,34382.4
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2010,223.694,6377,35078.2
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2011,231.443,6381,36270.6
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2012,244.259,6337,38544.9
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2013,249.172,6332,39351.2
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2014,262.87,6417,40964.6
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2015,263.117,6476,40629.6
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2016,268.675,6523,41188.9
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2017,281.086,6597,42608.1
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2018,286.362,6681,42862.1
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2019,300.964,6750,44587.3
Kampenhout,23038,Nee,"Gemiddeld inkomen, per aangifte",2020,301.759,6823,44226.7
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1991,77.39,3726,20770.3
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1992,81.66,3609,22626.8
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1993,85.9,3656,23495.6
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1994,91.89,3848,23879.9
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1995,97.08,4002,24257.9
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1996,100.74,4071,24745.8
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1997,104.71,4154,25207.0
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1998,108.99,4191,26005.7
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",1999,115.48,4211,27423.4
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2000,118.74,4288,27691.2
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2001,124.68,4379,28472.3
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2002,131.54,4501,29224.6
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2003,136.528,5008,27262.0
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2004,138.758,5089,27266.3
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2005,145.242,5122,28356.5
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2006,151.044,5183,29142.3
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2007,157.638,5235,30112.4
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2008,164.224,5199,31587.7
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2009,170.087,5263,32317.5
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2010,171.17,5305,32265.9
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2011,177.613,5303,33493.0
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2012,185.764,5293,35096.2
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2013,188.629,5335,35356.8
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2014,197.01,5331,36955.6
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2015,199.028,5386,36952.9
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2016,200.546,5406,37096.9
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2017,208.558,5432,38394.4
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2018,214.75,5488,39130.7
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2019,217.086,5464,39730.2
Kapelle-op-den-Bos,23039,Nee,"Gemiddeld inkomen, per aangifte",2020,227.043,5468,41522.2
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1991,95.07,5067,18762.6
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1992,103.59,5019,20639.6
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1993,106.67,5048,21131.1
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1994,109.67,4997,21947.2
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1995,117.25,5301,22118.5
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1996,121.42,5412,22435.3
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1997,125.93,5469,23026.1
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1998,131.97,5580,23650.5
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",1999,138.39,5688,24330.2
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2000,145.02,5786,25063.9
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2001,152.61,5956,25622.9
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2002,163.25,6255,26099.1
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2003,171.624,6851,25050.9
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2004,173.713,6880,25249.0
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2005,179.057,6931,25834.2
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2006,186.088,7026,26485.6
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2007,196.403,7093,27689.6
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2008,205.075,7048,29096.9
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2009,208.74,7035,29671.6
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2010,210.523,7158,29410.9
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2011,217.959,7214,30213.3
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2012,224.638,7121,31545.8
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2013,232.861,7212,32288.0
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2014,242.375,7260,33384.9
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2015,242.754,7302,33244.8
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2016,248.167,7385,33604.3
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2017,253.415,7441,34056.5
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2018,258.121,7512,34361.2
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2019,264.367,7505,35225.5
Liedekerke,23044,Nee,"Gemiddeld inkomen, per aangifte",2020,274.772,7492,36675.3
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1991,143.93,7195,20004.2
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1992,156.07,7103,21972.4
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1993,159.84,7092,22538.1
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1994,167.53,7081,23659.1
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1995,176.67,7349,24040.0
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1996,186.52,7515,24819.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1997,190.38,7558,25189.2
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1998,201.32,7797,25820.2
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",1999,208.95,7898,26456.1
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2000,218.83,8120,26949.5
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2001,238.51,8392,28421.1
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2002,243.78,8646,28195.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2003,256.622,9620,26675.9
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2004,265.872,9738,27302.5
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2005,276.421,9711,28464.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2006,287.617,9941,28932.4
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2007,301.096,10084,29858.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2008,315.83,10108,31245.6
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2009,325.421,10081,32280.6
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2010,327.241,10189,32117.1
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2011,345.482,10209,33841.0
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2012,354.756,10179,34851.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2013,366.076,10212,35847.6
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2014,385.891,10331,37352.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2015,387.722,10384,37338.4
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2016,391.498,10402,37636.8
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2017,406.624,10544,38564.5
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2018,416.934,10694,38987.7
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2019,425.603,10664,39910.3
Londerzeel,23045,Nee,"Gemiddeld inkomen, per aangifte",2020,442.467,10773,41071.8
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1991,101.44,4994,20312.4
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1992,109.1,4985,21885.7
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1993,111.3,4915,22645.0
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1994,115.96,5035,23030.8
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1995,123.35,5268,23415.0
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1996,125.95,5409,23285.3
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1997,130.44,5469,23850.8
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1998,134.62,5621,23949.5
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",1999,141.72,5664,25021.2
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2000,144.9,5767,25125.7
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2001,157.85,5922,26654.8
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2002,162.37,6083,26692.4
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2003,168.476,6786,24826.9
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2004,175.322,6934,25284.4
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2005,183.104,7048,25979.6
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2006,187.691,7192,26097.1
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2007,193.642,7252,26701.9
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2008,201.93,7329,27552.2
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2009,207.4,7358,28187.0
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2010,207.368,7437,27883.2
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2011,213.144,7377,28893.0
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2012,224.188,7342,30535.0
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2013,228.518,7409,30843.3
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2014,235.825,7498,31451.7
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2015,240.409,7701,31217.9
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2016,246.818,7901,31238.9
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2017,253.21,7946,31866.4
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2018,260.799,8001,32595.8
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2019,264.978,8033,32986.1
Machelen,23047,Nee,"Gemiddeld inkomen, per aangifte",2020,275.285,8089,34032.0
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1991,171.44,7002,24484.4
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1992,190.68,6914,27578.8
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1993,200.22,7050,28400.0
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1994,204.19,7104,28743.0
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1995,214.7,7450,28818.8
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1996,225.93,7583,29794.3
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1997,231.24,7697,30042.9
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1998,248.2,7934,31283.1
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",1999,260.08,8177,31806.3
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2000,268.55,8300,32355.4
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2001,296.85,8595,34537.5
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2002,300.52,8798,34157.8
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2003,311.302,9914,31400.3
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2004,323.091,10103,31979.7
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2005,333.548,10163,32819.8
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2006,351.212,10284,34151.3
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2007,366.247,10439,35084.5
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2008,373.81,10423,35864.0
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2009,374.343,10387,36039.5
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2010,379.066,10398,36455.7
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2011,396.038,10386,38131.9
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2012,405.074,10234,39581.2
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2013,412.909,10342,39925.5
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2014,426.057,10418,40896.3
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2015,435.379,10416,41799.1
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2016,445.344,10560,42172.8
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2017,452.101,10732,42126.4
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2018,474.281,10850,43712.5
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2019,483.652,10951,44165.1
Meise,23050,Nee,"Gemiddeld inkomen, per aangifte",2020,496.541,10964,45288.3
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1991,115.77,5573,20773.4
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1992,126.08,5564,22660.0
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1993,131.19,5620,23343.4
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1994,138.4,5709,24242.4
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1995,148.49,5972,24864.4
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1996,155.5,6126,25383.6
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1997,159.69,6192,25789.7
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1998,171.03,6390,26765.3
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",1999,178.58,6526,27364.4
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2000,183.52,6523,28134.3
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2001,196.84,6676,29484.7
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2002,206.97,6930,29865.8
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2003,220.087,8066,27285.8
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2004,232.027,8189,28333.9
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2005,240.065,8341,28781.3
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2006,251.537,8623,29170.5
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2007,256.552,8663,29614.6
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2008,272.408,8780,31025.9
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2009,282.613,8875,31843.7
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2010,287.595,9025,31866.5
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2011,300.13,9039,33203.9
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2012,317.206,8960,35402.5
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2013,323.184,9099,35518.6
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2014,339.146,9124,37170.7
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2015,343.139,9182,37370.8
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2016,349.962,9156,38222.2
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2017,363.324,9253,39265.5
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2018,375.437,9411,39893.4
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2019,380.576,9527,39947.1
Merchtem,23052,Nee,"Gemiddeld inkomen, per aangifte",2020,398.182,9662,41211.1
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1991,96.26,4725,20372.5
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1992,103.77,4644,22345.0
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1993,107.19,4670,22952.9
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1994,111.43,4700,23708.5
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1995,118.82,4851,24493.9
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1996,121.52,4913,24734.4
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1997,126.03,4925,25589.8
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1998,134.86,5099,26448.3
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",1999,141.61,5167,27406.6
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2000,147.23,5287,27847.5
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2001,156.98,5365,29260.0
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2002,164.5,5633,29202.9
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2003,178.223,6628,26889.5
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2004,183.978,6703,27447.1
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2005,194.821,6858,28407.8
Opwijk,23060,Nee,"Gemiddeld inkomen, per aangifte",2006,204.328,6995,29210.6
