Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2011,212,10207,0.0207701
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2012,228,10233,0.0222809
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2013,222,10278,0.0215995
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2014,253,10451,0.0242082
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2015,224,10465,0.0214047
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2016,242,10540,0.0229602
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2017,282,10581,0.0266515
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2018,296,10685,0.0277024
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2019,330,10854,0.0304035
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2020,327,10949,0.0298657
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2021,346,11077,0.0312359
Borsbeek,11007,Nee,Personen met sociale bijstandsuitkering,2022,365,11226,0.0325138
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2011,750,37189,0.0201673
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2012,727,37301,0.0194901
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2013,761,37286,0.0204098
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2014,783,37502,0.0208789
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2015,791,37480,0.0211046
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2016,828,37673,0.0219786
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2017,834,37792,0.0220682
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2018,860,37850,0.0227213
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2019,934,37946,0.0246139
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2020,963,38223,0.0251943
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2021,1013,38211,0.0265107
Brasschaat,11008,Nee,Personen met sociale bijstandsuitkering,2022,1037,38237,0.0271203
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2011,537,27801,0.0193159
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2012,537,27906,0.0192432
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2013,534,28016,0.0190605
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2014,548,28174,0.0194506
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2015,551,28248,0.0195058
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2016,548,28534,0.0192052
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2017,568,28786,0.0197318
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2018,577,29010,0.0198897
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2019,607,29268,0.0207394
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2020,626,29454,0.0212535
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2021,677,29809,0.0227113
Brecht,11009,Nee,Personen met sociale bijstandsuitkering,2022,682,30143,0.0226255
