Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Procent
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2007,0.02023
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2008,0.02933
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2009,0.01437
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2010,0.02581
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2011,0.04261
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2012,0.05217
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2013,0.04857
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2014,0.05983
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2015,0.05484
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2016,0.0828
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2017,0.08224
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2018,0.07965
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2019,0.1
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2020,0.08982
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2021,0.07521
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2001,0.05039
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2002,0.07428
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2003,0.06988
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2004,0.05511
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2005,0.05438
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2006,0.07636
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2007,0.0837
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2008,0.07826
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2009,0.07891
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2010,0.0905
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2011,0.17231
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2012,0.23252
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2013,0.31489
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2014,0.32555
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2015,0.37378
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2016,0.38857
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2017,0.38617
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2018,0.36639
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2019,0.35714
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2020,0.34009
Boom,11005,Nee,Kansarmoede-index Kind en Gezin,2021,0.29819
