Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een IGO of GIB,Aantal inwoners van 65 jaar en ouder,Procent
Boechout,11004,Nee,Personen met inkomensgarantie voor ouderen,2018,84,2717,0.0309165
Boechout,11004,Nee,Personen met inkomensgarantie voor ouderen,2019,86,2763,0.0311256
Boechout,11004,Nee,Personen met inkomensgarantie voor ouderen,2020,88,2883,0.0305238
Boechout,11004,Nee,Personen met inkomensgarantie voor ouderen,2021,88,2977,0.02956
Boechout,11004,Nee,Personen met inkomensgarantie voor ouderen,2022,85,3083,0.0275705
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2002,124,3197,0.0387864
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2003,123,3223,0.0381632
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2004,122,3232,0.0377475
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2005,118,3237,0.0364535
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2006,113,3257,0.0346945
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2007,113,3213,0.0351696
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2008,111,3182,0.0348837
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2009,120,3157,0.0380108
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2010,119,3146,0.0378258
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2011,124,3136,0.0395408
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2012,131,3204,0.0408864
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2013,129,3202,0.0402873
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2014,135,3189,0.042333
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2015,136,3200,0.0425
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2016,140,3186,0.0439422
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2017,134,3212,0.0417186
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2018,126,3245,0.038829
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2019,126,3197,0.0394119
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2020,123,3206,0.0383656
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2021,125,3226,0.0387477
Boom,11005,Nee,Personen met inkomensgarantie voor ouderen,2022,129,3251,0.0396801
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2002,66,1536,0.0429688
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2003,69,1594,0.0432873
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2004,65,1660,0.0391566
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2005,56,1708,0.0327869
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2006,55,1754,0.0313569
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2007,64,1751,0.0365505
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2008,62,1792,0.0345982
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2009,64,1815,0.0352617
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2010,63,1820,0.0346154
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2011,65,1878,0.0346113
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2012,66,1917,0.0344288
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2013,68,1975,0.0344304
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2014,70,2027,0.0345338
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2015,69,2031,0.0339734
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2016,69,2042,0.0337904
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2017,85,2074,0.0409836
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2018,87,2097,0.0414878
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2019,90,2145,0.041958
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2020,89,2185,0.0407323
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2021,84,2235,0.0375839
Borsbeek,11007,Nee,Personen met inkomensgarantie voor ouderen,2022,90,2265,0.0397351
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2002,183,6269,0.0291913
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2003,172,6434,0.026733
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2004,162,6634,0.0244197
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2005,163,6766,0.024091
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2006,167,6939,0.0240669
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2007,163,7019,0.0232227
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2008,168,7113,0.0236187
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2009,193,7279,0.0265146
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2010,198,7420,0.0266846
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2011,219,7619,0.0287439
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2012,214,7803,0.0274253
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2013,215,8017,0.026818
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2014,236,8192,0.0288086
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2015,234,8332,0.0280845
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2016,248,8514,0.0291285
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2017,249,8726,0.0285354
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2018,244,8935,0.0273083
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2019,240,9142,0.0262525
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2020,247,9390,0.0263046
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2021,247,9571,0.0258071
Brasschaat,11008,Nee,Personen met inkomensgarantie voor ouderen,2022,252,9712,0.0259473
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2002,156,3249,0.0480148
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2003,155,3294,0.0470553
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2004,151,3410,0.0442815
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2005,137,3494,0.0392101
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2006,135,3625,0.0372414
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2007,137,3727,0.0367588
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2008,153,3825,0.04
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2009,149,3996,0.0372873
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2010,161,4135,0.0389359
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2011,150,4229,0.0354694
