Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal leerlingenkenmerken waaraan leerlingen van gewoon lager onderwijs voldoen, gesommeerd over alle leerlingen, naar woonplaats","Aantal leerlingen van gewoon lager onderwijs, naar woonplaats",OKI
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2009,283403,364669,0.777151
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2010,279966,362245,0.772864
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2011,280728,363371,0.772566
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2012,283810,367478,0.772318
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2013,291034,372391,0.781528
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2014,294351,379237,0.776166
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2015,306386,389743,0.786123
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2016,323949,401010,0.807833
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2017,332283,409699,0.811042
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2018,345592,415715,0.83132
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2019,357808,418531,0.854914
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2020,413182,418769,0.986659
Vlaams Gewest,2000,/,Onderwijskansarmoede-indicator (OKI),2021,413887,416377,0.99402
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2009,319,825,0.386667
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2010,356,821,0.433618
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2011,283,826,0.342615
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2012,314,826,0.380145
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2013,280,820,0.341463
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2014,240,802,0.299252
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2015,239,791,0.302149
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2016,320,845,0.378698
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2017,321,841,0.381688
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2018,336,834,0.402878
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2019,302,832,0.362981
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2020,425,855,0.497076
Aartselaar,11001,Nee,Onderwijskansarmoede-indicator (OKI),2021,490,887,0.552424
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2009,57953,28912,2.00446
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2010,59500,29418,2.02257
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2011,61560,30367,2.0272
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2012,64553,31456,2.05217
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2013,67974,32504,2.09125
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2014,70383,33618,2.09361
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2015,73789,35069,2.10411
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2016,78031,36517,2.13684
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2017,80853,37701,2.14459
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2018,83786,38515,2.17541
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2019,84226,39059,2.15638
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2020,89039,39291,2.26614
Antwerpen,11002,Ja,Onderwijskansarmoede-indicator (OKI),2021,88036,39164,2.24788
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2009,358,888,0.403153
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2010,338,834,0.405276
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2011,291,809,0.359703
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2012,341,795,0.428931
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2013,323,781,0.413572
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2014,322,791,0.40708
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2015,216,787,0.27446
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2016,238,838,0.28401
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2017,236,828,0.285024
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2018,273,829,0.329312
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2019,295,841,0.350773
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2020,395,854,0.462529
Boechout,11004,Nee,Onderwijskansarmoede-indicator (OKI),2021,371,836,0.44378
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2009,1538,1047,1.46896
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2010,1593,1091,1.46013
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2011,1789,1155,1.54892
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2012,1803,1212,1.48762
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2013,1870,1208,1.54801
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2014,2098,1251,1.67706
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2015,2180,1280,1.70313
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2016,2023,1314,1.53957
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2017,1764,1313,1.34349
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2018,1834,1323,1.38624
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2019,2131,1394,1.52869
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2020,2287,1451,1.57615
Boom,11005,Nee,Onderwijskansarmoede-indicator (OKI),2021,2362,1481,1.59487
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2009,346,568,0.609155
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2010,350,552,0.634058
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2011,377,574,0.656794
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2012,547,570,0.959649
