Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Aantal actieve budgetmeters elektriciteit en aardgas,Aantal toegangspunten elektricteit en aardgas,Verhouding per 1000 toegangspunten
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2011,24220,1646060,14.7139
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2011,43999,2679275,16.422
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2012,27232,1682636,16.1841
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2012,44039,2689588,16.3739
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2013,27554,1719426,16.0251
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2013,42891,2700948,15.88
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2014,28325,1754217,16.1468
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2014,42282,2718704,15.5523
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2015,27760,1792985,15.4826
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2015,40619,2739624,14.8265
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2016,27830,1824629,15.2524
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2016,40764,2753360,14.8052
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2017,28094,1861746,15.0901
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2017,41501,2775344,14.9535
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2018,27693,1896868,14.5993
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2018,41038,2797113,14.6716
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2019,26318,1939567,13.569
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2019,39220,2832829,13.8448
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2020,24465,1975491,12.3843
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2020,35635,2862848,12.4474
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters aardgas,2021,24882,2015988,12.3423
Vlaams Gewest,2000,/,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,36459,2897461,12.5831
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2011,26,4724,5.50381
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2011,36,5824,6.18132
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2012,31,4744,6.53457
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2012,33,5841,5.64972
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2013,30,4748,6.31845
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2013,44,5822,7.55754
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2014,33,4807,6.86499
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2014,40,5863,6.82245
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2015,29,4820,6.0166
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2015,38,5875,6.46809
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2016,28,4849,5.77439
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2016,38,5886,6.456
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2017,22,4894,4.4953
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2017,35,5919,5.91316
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2018,17,4948,3.43573
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2018,40,5943,6.73061
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2019,26,4980,5.22088
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2019,42,6009,6.98952
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2020,21,5083,4.13142
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2020,48,6112,7.8534
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters aardgas,2021,25,5149,4.85531
Aartselaar,11001,Nee,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,43,6152,6.9896
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2011,4258,176412,24.1367
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2011,6667,232918,28.6238
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2012,4840,177102,27.3289
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2012,6552,233097,28.1085
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2013,4879,177268,27.5233
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2013,6448,232715,27.7077
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2014,4858,177785,27.3251
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2014,6177,233090,26.5005
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2015,4579,178831,25.6052
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2015,5713,234152,24.3987
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2016,4535,179761,25.2279
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2016,5691,235319,24.1842
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2017,4461,180457,24.7206
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2017,5734,236314,24.2643
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2018,4280,181138,23.6284
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2018,5635,237198,23.7565
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2019,3909,182757,21.3891
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2019,5253,240019,21.8858
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2020,3557,183616,19.372
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2020,4643,241438,19.2306
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,532,33.8346
