Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Geslacht,Type vergoeding,Aantal personen met een inkomensvervangende tegemoetkoming voor personen met een handicap ,Aantal inwoners,Procent
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2018,Mannen,Inkomensverv. tegemoetkoming,16.0,30623,0.000522483
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2018,Mannen,Integratietegemoetkoming,66.0,30623,0.00215524
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2018,Mannen,IVT en IT,124.0,30623,0.00404924
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2018,Vrouwen,Inkomensverv. tegemoetkoming,16.0,30623,0.000522483
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2018,Vrouwen,Integratietegemoetkoming,125.0,30623,0.0040819
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2018,Vrouwen,IVT en IT,113.0,30623,0.00369004
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Totaal,Inkomensverv. tegemoetkoming,41.0,30655,0.00133747
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Totaal,Integratietegemoetkoming,201.0,30655,0.00655684
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Totaal,IVT en IT,245.0,30655,0.00799217
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Mannen,Inkomensverv. tegemoetkoming,15.0,30655,0.000489317
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Mannen,Integratietegemoetkoming,70.0,30655,0.00228348
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Mannen,IVT en IT,130.0,30655,0.00424074
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Vrouwen,Inkomensverv. tegemoetkoming,26.0,30655,0.000848149
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Vrouwen,Integratietegemoetkoming,131.0,30655,0.00427336
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2019,Vrouwen,IVT en IT,115.0,30655,0.00375143
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Totaal,Inkomensverv. tegemoetkoming,39.0,30550,0.0012766
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Totaal,Integratietegemoetkoming,201.0,30550,0.00657938
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Totaal,IVT en IT,235.0,30550,0.00769231
