Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Totaal netto belastbaar inkomen (in miljoen euro),Aantal inwoners,"Gemiddeld inkomen (in euro), per inwoner"
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2012,7534.32,502604,14990.6
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2013,7684.51,507911,15129.6
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2014,8019.64,510610,15706.0
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2015,8111.52,513570,15794.4
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2016,8181.49,517042,15823.7
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2017,8414.38,520504,16165.8
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2018,8633.34,523248,16499.5
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2019,8882.94,525935,16889.8
Antwerpen,11002,Ja,"Gemiddeld inkomen, per inwoner",2020,9112.42,529247,17217.7
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",1997,139.49,11744,11877.6
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",1998,146.11,11797,12385.4
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",1999,150.78,11908,12662.1
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2000,156.41,11919,13122.7
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2001,167.62,11953,14023.3
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2002,168.61,11886,14185.6
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2003,175.232,11974,14634.4
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2004,181.931,11953,15220.6
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2005,189.653,11992,15815.0
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2006,202.451,12090,16745.3
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2007,210.86,12149,17356.2
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2008,225.802,12333,18308.7
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2009,235.235,12589,18685.8
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2010,237.173,12749,18603.3
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2011,246.504,12728,19367.1
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2012,256.125,12724,20129.3
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2013,264.436,12774,20701.1
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2014,274.902,12804,21470.0
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2015,277.592,12792,21700.4
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2016,289.34,12844,22527.2
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2017,295.933,12908,22926.4
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2018,304.383,13120,23199.9
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2019,312.612,13266,23564.9
Boechout,11004,Nee,"Gemiddeld inkomen, per inwoner",2020,328.589,13372,24572.9
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",1997,148.44,14722,10082.9
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",1998,162.89,14822,10989.7
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",1999,172.11,14875,11570.4
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2000,179.31,15057,11908.7
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2001,186.08,14986,12416.9
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2002,198.41,15089,13149.3
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2003,204.216,15330,13321.4
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2004,211.527,15567,13588.2
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2005,220.883,15729,14043.1
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2006,230.628,16096,14328.3
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2007,239.697,16326,14681.9
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2008,253.347,16444,15406.7
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2009,256.917,16598,15478.8
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2010,260.794,16709,15608.0
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2011,266.082,16989,15662.0
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2012,274.603,17166,15996.9
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2013,280.455,17227,16280.0
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2014,297.056,17231,17239.6
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2015,298.573,17559,17004.0
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2016,300.55,17737,16944.8
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2017,311.473,17788,17510.3
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2018,320.782,17970,17851.0
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2019,336.027,18244,18418.5
Boom,11005,Nee,"Gemiddeld inkomen, per inwoner",2020,344.046,18555,18541.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",1997,123.03,10250,12002.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",1998,125.05,10241,12210.7
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",1999,130.3,10284,12670.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2000,133.99,10373,12917.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2001,143.23,10295,13912.6
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2002,145.82,10278,14187.6
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2003,148.343,10298,14405.0
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2004,153.007,10304,14849.3
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2005,156.613,10304,15199.3
