Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Totaal netto belastbaar inkomen (in miljoen euro),Aantal inwoners,"Gemiddeld inkomen (in euro), per inwoner"
Wommelgem,11052,Nee,"Gemiddeld inkomen, per inwoner",2020,284.421,12943,21974.9
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",1997,159.87,17115,9340.93
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",1998,175.96,17276,10185.2
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",1999,175.39,17477,10035.5
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2000,184.2,17552,10494.5
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2001,200.26,17646,11348.7
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2002,210.79,17777,11857.5
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2003,222.912,17893,12458.1
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2004,237.579,18006,13194.4
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2005,248.647,18184,13673.9
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2006,262.063,18338,14290.7
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2007,276.398,18605,14856.1
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2008,289.1,18839,15345.8
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2009,299.46,19013,15750.3
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2010,307.287,19213,15993.7
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2011,320.178,19371,16528.7
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2012,335.256,19547,17151.3
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2013,352.828,19731,17881.9
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2014,367.063,19872,18471.4
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2015,371.232,20124,18447.2
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2016,380.614,20228,18816.2
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2017,394.246,20459,19270.0
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2018,410.127,20671,19840.7
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2019,429.478,20970,20480.6
Wuustwezel,11053,Nee,"Gemiddeld inkomen, per inwoner",2020,442.117,21213,20841.8
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",1997,124.72,11763,10602.7
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",1998,132.66,11856,11189.3
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",1999,140.11,11982,11693.4
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2000,146.84,12085,12150.6
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2001,156.57,12144,12892.8
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2002,162.29,12143,13364.9
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2003,171.494,12199,14058.0
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2004,176.853,12260,14425.2
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2005,187.291,12255,15282.8
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2006,194.811,12286,15856.4
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2007,203.334,12262,16582.4
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2008,213.101,12344,17263.5
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2009,217.803,12351,17634.4
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2010,222.441,12387,17957.6
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2011,231.101,12533,18439.4
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2012,243.182,12580,19330.8
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2013,246.644,12713,19400.9
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2014,258.331,12729,20294.7
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2015,260.861,12727,20496.7
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2016,262.359,12768,20548.2
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2017,277.085,12843,21574.8
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2018,281.006,12985,21640.8
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2019,285.617,13025,21928.3
Zandhoven,11054,Nee,"Gemiddeld inkomen, per inwoner",2020,295.766,13071,22627.6
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",1997,237.48,19999,11874.6
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",1998,245.27,20060,12226.8
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",1999,256.08,20062,12764.4
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2000,265.91,20164,13187.4
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2001,289.89,20120,14408.1
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2002,296.85,20134,14743.7
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2003,313.467,20306,15437.2
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2004,316.245,20400,15502.2
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2005,333.423,20426,16323.5
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2006,350.935,20638,17004.3
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2007,363.611,20803,17478.8
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2008,383.362,20996,18258.8
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2009,391.634,21208,18466.3
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2010,399.862,21265,18803.8
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2011,414.346,21415,19348.4
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2012,428.875,21555,19896.8
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2013,439.02,21610,20315.6
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2014,477.586,21573,22138.1
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2015,464.341,21704,21394.3
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2016,464.5,21764,21342.6
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2017,484.781,21857,22179.7
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2018,497.239,21739,22873.1
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2019,513.169,21944,23385.4
Zoersel,11055,Nee,"Gemiddeld inkomen, per inwoner",2020,534.448,22065,24221.5
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",1997,207.71,18005,11536.2
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",1998,213.92,17887,11959.5
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",1999,221.84,17842,12433.6
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2000,232.72,17801,13073.4
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2001,244.84,17744,13798.5
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2002,258.81,17743,14586.6
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2003,264.026,17914,14738.5
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2004,275.783,18000,15321.3
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2005,286.533,18104,15827.1
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2006,296.811,18231,16280.6
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2007,313.062,18352,17058.7
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2008,326.054,18420,17701.1
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2009,332.467,18480,17990.6
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2010,335.391,18573,18058.0
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2011,346.674,18656,18582.4
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2012,356.974,18643,19147.9
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2013,364.912,18794,19416.4
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2014,378.036,18952,19947.0
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2015,379.131,18936,20021.7
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2016,376.557,18957,19863.7
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2017,382.792,18985,20162.9
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2018,396.401,19002,20861.0
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2019,401.334,19056,21060.8
Zwijndrecht,11056,Nee,"Gemiddeld inkomen, per inwoner",2020,410.511,19154,21432.1
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",1997,146.6,13589,10788.1
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",1998,155.07,13737,11288.5
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",1999,156.53,13885,11273.3
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2000,164.96,13922,11848.9
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2001,177.13,13949,12698.4
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2002,182.7,14070,12985.1
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2003,192.616,14058,13701.5
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2004,201.965,14096,14327.8
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2005,204.579,14150,14457.9
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2006,212.314,14083,15075.9
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2007,222.613,14158,15723.5
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2008,233.753,14225,16432.5
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2009,239.837,14422,16630.0
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2010,244.925,14531,16855.4
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2011,253.585,14616,17349.8
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2012,265.826,14763,18006.2
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2013,270.535,14948,18098.4
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2014,291.618,15013,19424.4
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2015,290.704,15083,19273.6
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2016,295.638,15158,19503.7
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2017,308.854,15257,20243.5
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2018,318.008,15304,20779.4
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2019,326.024,15561,20951.3
Malle,11057,Nee,"Gemiddeld inkomen, per inwoner",2020,335.823,15602,21524.4
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",1997,92.84,9887,9390.11
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",1998,98.78,10041,9837.67
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",1999,102.98,10060,10236.6
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2000,108.72,10150,10711.3
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2001,115.96,10169,11403.3
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2002,122.64,10242,11974.2
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2003,133.876,10286,13015.3
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2004,141.606,10345,13688.4
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2005,148.227,10438,14200.7
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2006,156.564,10612,14753.5
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2007,164.186,10668,15390.5
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2008,171.194,10730,15954.7
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2009,179.519,10817,16596.0
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2010,180.755,10889,16599.8
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2011,186.14,10891,17091.2
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2012,193.06,10960,17614.9
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2013,202.386,11013,18377.0
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2014,212.634,11034,19270.8
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2015,213.54,11174,19110.4
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2016,220.057,11203,19642.7
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2017,225.221,11385,19782.3
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2018,231.102,11507,20083.6
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2019,240.843,11527,20893.8
Berlaar,12002,Nee,"Gemiddeld inkomen, per inwoner",2020,248.607,11656,21328.6
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",1997,182.87,13568,13478.0
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",1998,193.52,13858,13964.5
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",1999,202.35,13955,14500.2
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2000,216.46,14089,15363.8
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2001,226.56,14237,15913.5
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2002,229.68,14229,16141.7
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2003,240.255,14241,16870.7
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2004,248.068,14314,17330.4
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2005,258.198,14387,17946.6
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2006,271.811,14510,18732.7
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2007,278.212,14499,19188.4
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2008,296.228,14557,20349.5
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2009,303.649,14611,20782.2
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2010,298.237,14669,20331.1
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2011,314.584,14656,21464.5
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2012,325.587,14722,22115.7
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2013,333.639,14828,22500.6
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2014,351.839,14778,23808.3
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2015,351.08,14769,23771.4
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2016,362.36,14704,24643.6
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2017,377.096,14826,25434.8
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2018,385.486,14951,25783.3
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2019,387.346,15010,25805.8
Bonheiden,12005,Nee,"Gemiddeld inkomen, per inwoner",2020,412.158,15078,27335.1
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",1997,211.65,19725,10730.0
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",1998,224.1,19750,11346.8
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",1999,231.93,19879,11667.1
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2000,243.71,19939,12222.8
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2001,255.01,19841,12852.7
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2002,269.83,19906,13555.2
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2003,275.045,19939,13794.3
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2004,292.59,19921,14687.5
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2005,301.584,19939,15125.3
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2006,319.732,20064,15935.6
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2007,339.479,20235,16776.8
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2008,358.345,20341,17616.9
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2009,361.655,20475,17663.2
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2010,367.168,20556,17861.8
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2011,385.561,20727,18601.9
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2012,403.701,20866,19347.3
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2013,409.928,20810,19698.6
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2014,429.563,20858,20594.6
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2015,441.715,20940,21094.3
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2016,445.273,21039,21164.2
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2017,458.869,21129,21717.5
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2018,477.811,21186,22553.1
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2019,485.928,21366,22743.0
Bornem,12007,Nee,"Gemiddeld inkomen, per inwoner",2020,504.795,21353,23640.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",1997,167.77,15742,10657.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",1998,176.32,15767,11182.9
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",1999,184.02,15896,11576.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2000,193.14,15971,12093.2
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2001,203.16,15938,12746.9
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2002,215.34,16005,13454.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2003,227.706,16009,14223.6
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2004,241.517,15957,15135.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2005,244.398,15991,15283.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2006,256.665,16019,16022.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2007,267.971,16140,16602.9
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2008,280.462,16238,17271.9
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2009,290.946,16429,17709.3
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2010,293.829,16577,17725.1
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2011,303.025,16770,18069.5
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2012,319.929,16941,18884.9
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2013,326.061,17037,19138.4
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2014,342.732,17119,20020.6
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2015,349.976,17131,20429.4
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2016,349.971,17292,20238.9
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2017,362.679,17302,20961.7
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2018,377.612,17385,21720.6
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2019,388.604,17491,22217.4
Duffel,12009,Nee,"Gemiddeld inkomen, per inwoner",2020,401.801,17664,22746.9
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",1997,362.17,36996,9789.44
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",1998,376.17,37220,10106.7
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",1999,392.29,37342,10505.3
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2000,409.8,37233,11006.4
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2001,435.26,37396,11639.2
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2002,454.69,37538,12112.8
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2003,471.797,37655,12529.5
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2004,504.783,37868,13330.1
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2005,547.431,38126,14358.5
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2006,574.114,38513,14907.0
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2007,601.708,38721,15539.6
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2008,634.699,39201,16190.9
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2009,652.628,39603,16479.3
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2010,669.924,39866,16804.4
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2011,713.807,40236,17740.5
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2012,725.725,40512,17913.8
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2013,755.62,40915,18468.0
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2014,794.776,41365,19213.7
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2015,803.92,41812,19227.0
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2016,816.287,42110,19384.6
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2017,843.106,42416,19877.1
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2018,868.742,42478,20451.6
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2019,893.797,42681,20941.3
Heist-op-den-Berg,12014,Nee,"Gemiddeld inkomen, per inwoner",2020,929.659,42950,21645.1
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",1997,340.46,31705,10738.4
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",1998,358.64,31815,11272.7
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",1999,376.33,32064,11736.8
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2000,401.45,32191,12470.9
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2001,423.29,32389,13068.9
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2002,440.41,32456,13569.4
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2003,471.95,32643,14457.9
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2004,484.626,32821,14765.7
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2005,498.221,32947,15121.9
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2006,519.979,33272,15628.1
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2007,541.953,33259,16294.9
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2008,564.698,33482,16865.7
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2009,578.185,33706,17153.8
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2010,583.156,33930,17187.0
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2011,602.071,34123,17644.1
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2012,631.409,34276,18421.3
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2013,640.507,34497,18567.0
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2014,673.581,34368,19599.1
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2015,673.925,34652,19448.4
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2016,686.566,34905,19669.6
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2017,713.569,35244,20246.5
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2018,748.149,35712,20949.5
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2019,761.307,36242,21006.2
Lier,12021,Nee,"Gemiddeld inkomen, per inwoner",2020,791.82,36646,21607.3
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",1997,845.54,75255,11235.7
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",1998,876.32,75429,11617.8
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",1999,909.52,75418,12059.7
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2000,950.93,75438,12605.5
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2001,999.97,75560,13234.1
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2002,1033.23,75946,13604.8
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2003,1067.39,76485,13955.6
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2004,1096.0,76981,14237.3
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2005,1128.84,77480,14569.5
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2006,1179.13,78268,15065.3
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2007,1236.07,78900,15666.3
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2008,1297.57,79471,16327.6
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2009,1337.26,80205,16673.0
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2010,1348.89,80940,16665.3
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2011,1386.79,81927,16927.1
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2012,1447.83,82325,17586.7
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2013,1489.73,82602,18035.1
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2014,1564.71,83194,18807.9
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2015,1573.4,83975,18736.6
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2016,1600.74,84523,18938.5
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2017,1660.45,85665,19383.0
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2018,1703.59,86304,19739.4
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2019,1748.9,86616,20191.4
Mechelen,12025,Ja,"Gemiddeld inkomen, per inwoner",2020,1804.32,86921,20758.2
Nijlen,12026,Nee,"Gemiddeld inkomen, per inwoner",1997,188.35,20165,9340.44
Nijlen,12026,Nee,"Gemiddeld inkomen, per inwoner",1998,197.53,20297,9731.98
Nijlen,12026,Nee,"Gemiddeld inkomen, per inwoner",1999,207.7,20407,10177.9
