"REGION","AGEGROUP","SEX","DOSE","TOT"
"GER","55_64","M","E",29
"GER","65_74","F","A",5
"GER","65_74","F","B",20
"GER","65_74","F","E",22
"GER","65_74","M","A",8
"GER","65_74","M","B",40
"GER","65_74","M","E",55
"GER","65_74","M","E2",13
"GER","75_84","F","A",13
"GER","75_84","F","B",53
"GER","75_84","F","E",81
"GER","75_84","F","E2",15
"GER","75_84","M","A",10
"GER","75_84","M","B",74
"GER","75_84","M","E",80
"GER","75_84","M","E2",13
"GER","85+","F","A",27
"GER","85+","F","B",140
"GER","85+","F","E",156
"GER","85+","F","E2",23
"GER","85+","M","A",23
"GER","85+","M","B",84
"GER","85+","M","E",100
"GER","85+","M","E2",22
"UNK","35_44","M","B",5
"UNK","35_44","M","E",6
"UNK","45_54","M","B",8
"UNK","45_54","M","C",6
"UNK","45_54","M","E",7
"UNK","55_64","M","B",19
"UNK","55_64","M","C",5
"UNK","55_64","M","E",6
"UNK","65_74","F","B",6
"UNK","65_74","M","A",6
"UNK","65_74","M","B",14
"UNK","65_74","M","C",6
"UNK","65_74","M","E",10
"UNK","75_84","M","A",9
"UNK","75_84","M","B",14
"UNK","75_84","M","E",14
"UNK","85+","F","A",7
"UNK","85+","F","E",9
"UNK","85+","M","A",5
"UNK","85+","M","B",5
"UNK","85+","M","E",9
"WAL","12_17","F","B",8
"WAL","12_17","M","B",14
"WAL","18_24","F","B",16
"WAL","18_24","F","E",12
"WAL","18_24","M","A",16
"WAL","18_24","M","B",48
"WAL","18_24","M","E",22
"WAL","25_34","F","A",9
"WAL","25_34","F","B",32
"WAL","25_34","F","E",27
"WAL","25_34","M","A",20
"WAL","25_34","M","B",84
"WAL","25_34","M","E",64
"WAL","35_44","F","A",28
"WAL","35_44","F","B",110
"WAL","35_44","F","E",78
"WAL","35_44","M","A",48
"WAL","35_44","M","B",186
"WAL","35_44","M","C",11
"WAL","35_44","M","E",139
"WAL","35_44","M","E2",6
"WAL","45_54","F","A",75
"WAL","45_54","F","B",265
"WAL","45_54","F","C",41
"WAL","45_54","F","E",246
"WAL","45_54","F","E2",34
"WAL","45_54","M","A",123
"WAL","45_54","M","B",420
"WAL","45_54","M","C",62
"WAL","45_54","M","E",439
"WAL","45_54","M","E2",59
"WAL","55_64","F","A",143
"WAL","55_64","F","B",641
"WAL","55_64","F","C",71
"WAL","55_64","F","E",755
"WAL","55_64","F","E2",144
"WAL","55_64","F","E3",8
"WAL","55_64","M","A",261
"WAL","55_64","M","B",996
"WAL","55_64","M","C",135
"WAL","55_64","M","E",1285
"WAL","55_64","M","E2",217
"WAL","55_64","M","E3",15
"WAL","65_74","F","A",367
"WAL","65_74","F","B",1251
"WAL","65_74","F","C",143
"WAL","65_74","F","E",1728
"WAL","65_74","F","E2",386
"WAL","65_74","F","E3",19
"WAL","65_74","M","A",550
"WAL","65_74","M","B",1962
"WAL","65_74","M","C",169
"WAL","65_74","M","E",2822
"WAL","65_74","M","E2",585
"WAL","65_74","M","E3",31
"WAL","75_84","F","A",568
"WAL","75_84","F","B",2051
"WAL","75_84","F","C",203
"WAL","75_84","F","E",3005
"WAL","75_84","F","E2",641
"WAL","75_84","F","E3",30
"WAL","75_84","M","A",712
"WAL","75_84","M","B",2282
"WAL","75_84","M","C",203
"WAL","75_84","M","E",3549
"WAL","75_84","M","E2",750
"WAL","75_84","M","E3",49
"WAL","85+","F","A",1250
"WAL","85+","F","B",5040
"WAL","85+","F","C",492
"WAL","85+","F","E",7445
"WAL","85+","F","E2",1581
"WAL","85+","F","E3",18
"WAL","85+","M","A",852
"WAL","85+","M","B",2686
"WAL","85+","M","C",308
"WAL","85+","M","E",3992
"WAL","85+","M","E2",785
"WAL","85+","M","E3",20
"WAL",NA,"F","A",15
"WAL",NA,"F","B",40
"WAL",NA,"F","C",5
"WAL",NA,"F","E",39
"WAL",NA,"F","E2",5
"WAL",NA,"M","A",10
"WAL",NA,"M","B",43
"WAL",NA,"M","C",7
"WAL",NA,"M","E",40
