,DATE,REGION,AGEGROUP,SEX,DEATHS
0,2020-03-07,Brussels,75-84,M,1
1,2020-03-10,Brussels,85+,F,1
2,2020-03-11,Flanders,85+,M,1
3,2020-03-11,Brussels,65-74,M,1
4,2020-03-11,Brussels,85+,F,1
5,2020-03-13,Wallonia,65-74,M,1
6,2020-03-13,Brussels,75-84,M,1
7,2020-03-13,Brussels,75-84,F,1
8,2020-03-14,Flanders,75-84,M,1
9,2020-03-14,Brussels,65-74,M,2
10,2020-03-14,Brussels,75-84,M,1
11,2020-03-14,Brussels,75-84,F,1
12,2020-03-14,Brussels,85+,M,2
13,2020-03-15,Wallonia,65-74,F,1
14,2020-03-15,Wallonia,85+,F,1
15,2020-03-15,Flanders,65-74,M,1
16,2020-03-15,Flanders,85+,F,1
17,2020-03-15,Brussels,65-74,F,1
18,2020-03-15,Brussels,75-84,M,1
19,2020-03-15,Brussels,75-84,F,1
20,2020-03-16,Wallonia,75-84,M,1
21,2020-03-16,Wallonia,85+,F,3
22,2020-03-16,Flanders,65-74,M,1
23,2020-03-16,Flanders,75-84,F,1
24,2020-03-16,Brussels,65-74,M,1
25,2020-03-16,Brussels,75-84,F,1
26,2020-03-16,Brussels,85+,M,2
27,2020-03-16,Brussels,85+,F,1
28,2020-03-17,Wallonia,75-84,M,1
29,2020-03-17,Wallonia,85+,F,1
30,2020-03-17,Flanders,75-84,F,2
31,2020-03-17,Flanders,85+,M,1
32,2020-03-17,Flanders,85+,F,1
33,2020-03-17,Brussels,65-74,M,1
34,2020-03-17,Brussels,75-84,M,1
35,2020-03-17,Brussels,75-84,F,2
36,2020-03-17,Brussels,85+,M,4
37,2020-03-17,Brussels,85+,F,1
38,2020-03-18,Wallonia,25-44,F,1
39,2020-03-18,Wallonia,45-64,M,1
40,2020-03-18,Wallonia,65-74,M,2
41,2020-03-18,Wallonia,85+,F,3
42,2020-03-18,Flanders,65-74,F,1
43,2020-03-18,Flanders,75-84,M,4
44,2020-03-18,Flanders,85+,M,1
45,2020-03-18,Flanders,85+,F,2
46,2020-03-18,Brussels,75-84,M,1
47,2020-03-18,Brussels,75-84,F,3
48,2020-03-18,Brussels,85+,M,4
49,2020-03-18,Brussels,85+,F,2
50,2020-03-19,Wallonia,65-74,M,5
51,2020-03-19,Wallonia,65-74,F,2
52,2020-03-19,Wallonia,75-84,F,1
53,2020-03-19,Wallonia,85+,M,3
54,2020-03-19,Wallonia,85+,F,1
55,2020-03-19,Flanders,65-74,F,1
56,2020-03-19,Flanders,75-84,M,3
57,2020-03-19,Flanders,75-84,F,2
58,2020-03-19,Flanders,85+,M,3
59,2020-03-19,Flanders,85+,F,6
60,2020-03-19,Flanders,85+,,1
61,2020-03-19,Brussels,45-64,F,1
62,2020-03-19,Brussels,75-84,M,1
63,2020-03-19,Brussels,75-84,F,1
64,2020-03-19,Brussels,85+,F,4
65,2020-03-20,Wallonia,45-64,F,2
66,2020-03-20,Wallonia,65-74,M,1
67,2020-03-20,Wallonia,75-84,M,2
68,2020-03-20,Wallonia,85+,M,3
69,2020-03-20,Wallonia,85+,F,6
70,2020-03-20,Flanders,45-64,M,2
71,2020-03-20,Flanders,45-64,F,1
72,2020-03-20,Flanders,65-74,M,1
73,2020-03-20,Flanders,65-74,F,1
74,2020-03-20,Flanders,75-84,M,1
75,2020-03-20,Flanders,75-84,F,2
76,2020-03-20,Flanders,85+,M,3
77,2020-03-20,Flanders,85+,F,7
78,2020-03-20,Brussels,45-64,M,1
79,2020-03-20,Brussels,65-74,F,1
80,2020-03-20,Brussels,75-84,F,1
81,2020-03-20,Brussels,85+,M,2
82,2020-03-20,Brussels,85+,F,3
83,2020-03-21,Wallonia,25-44,F,1
84,2020-03-21,Wallonia,45-64,M,2
85,2020-03-21,Wallonia,65-74,M,1
86,2020-03-21,Wallonia,65-74,F,2
87,2020-03-21,Wallonia,75-84,M,1
88,2020-03-21,Wallonia,75-84,F,4
89,2020-03-21,Wallonia,85+,M,3
90,2020-03-21,Wallonia,85+,F,3
91,2020-03-21,Flanders,65-74,M,2
92,2020-03-21,Flanders,75-84,M,4
93,2020-03-21,Flanders,75-84,F,2
94,2020-03-21,Flanders,85+,M,5
95,2020-03-21,Flanders,85+,F,6
96,2020-03-21,Brussels,45-64,M,1
97,2020-03-21,Brussels,75-84,M,2
98,2020-03-21,Brussels,75-84,F,2
99,2020-03-22,Wallonia,45-64,M,2
100,2020-03-22,Wallonia,65-74,M,2
101,2020-03-22,Wallonia,65-74,F,2
102,2020-03-22,Wallonia,75-84,M,1
103,2020-03-22,Wallonia,75-84,F,1
104,2020-03-22,Wallonia,85+,M,5
105,2020-03-22,Wallonia,85+,F,6
106,2020-03-22,Flanders,45-64,M,2
107,2020-03-22,Flanders,65-74,M,2
108,2020-03-22,Flanders,75-84,M,6
109,2020-03-22,Flanders,75-84,F,1
110,2020-03-22,Flanders,85+,M,4
111,2020-03-22,Flanders,85+,F,9
112,2020-03-22,Brussels,25-44,M,1
113,2020-03-22,Brussels,45-64,M,2
114,2020-03-22,Brussels,65-74,F,1
115,2020-03-22,Brussels,75-84,F,4
116,2020-03-22,Brussels,85+,M,2
117,2020-03-22,Brussels,85+,F,2
118,2020-03-23,Wallonia,45-64,M,3
119,2020-03-23,Wallonia,45-64,F,2
120,2020-03-23,Wallonia,65-74,M,2
121,2020-03-23,Wallonia,65-74,F,1
122,2020-03-23,Wallonia,75-84,M,8
123,2020-03-23,Wallonia,75-84,F,3
124,2020-03-23,Wallonia,85+,M,7
125,2020-03-23,Wallonia,85+,F,7
126,2020-03-23,Flanders,45-64,M,2
127,2020-03-23,Flanders,45-64,F,1
128,2020-03-23,Flanders,65-74,M,3
129,2020-03-23,Flanders,75-84,M,6
130,2020-03-23,Flanders,75-84,F,4
131,2020-03-23,Flanders,85+,M,7
132,2020-03-23,Flanders,85+,F,11
133,2020-03-23,Brussels,45-64,M,1
134,2020-03-23,Brussels,65-74,M,4
135,2020-03-23,Brussels,65-74,F,2
136,2020-03-23,Brussels,75-84,M,3
137,2020-03-23,Brussels,85+,M,1
138,2020-03-23,Brussels,85+,F,4
139,2020-03-24,Wallonia,45-64,M,1
140,2020-03-24,Wallonia,45-64,F,1
141,2020-03-24,Wallonia,65-74,M,9
142,2020-03-24,Wallonia,65-74,F,1
143,2020-03-24,Wallonia,75-84,M,3
144,2020-03-24,Wallonia,75-84,F,3
145,2020-03-24,Wallonia,85+,M,8
146,2020-03-24,Wallonia,85+,F,5
147,2020-03-24,Flanders,45-64,M,2
148,2020-03-24,Flanders,65-74,M,1
149,2020-03-24,Flanders,65-74,F,1
150,2020-03-24,Flanders,75-84,M,9
151,2020-03-24,Flanders,75-84,F,1
152,2020-03-24,Flanders,85+,M,10
153,2020-03-24,Flanders,85+,F,8
154,2020-03-24,Brussels,45-64,M,1
155,2020-03-24,Brussels,65-74,F,1
156,2020-03-24,Brussels,75-84,M,4
157,2020-03-24,Brussels,75-84,F,1
158,2020-03-24,Brussels,85+,M,2
159,2020-03-24,Brussels,85+,F,4
160,2020-03-25,Wallonia,25-44,F,1
161,2020-03-25,Wallonia,45-64,M,2
162,2020-03-25,Wallonia,45-64,F,1
163,2020-03-25,Wallonia,65-74,M,7
164,2020-03-25,Wallonia,65-74,F,1
165,2020-03-25,Wallonia,75-84,M,4
166,2020-03-25,Wallonia,75-84,F,11
167,2020-03-25,Wallonia,85+,M,8
168,2020-03-25,Wallonia,85+,F,4
169,2020-03-25,Flanders,45-64,M,3
170,2020-03-25,Flanders,45-64,F,2
171,2020-03-25,Flanders,65-74,M,8
172,2020-03-25,Flanders,75-84,M,9
173,2020-03-25,Flanders,75-84,F,7
174,2020-03-25,Flanders,85+,M,13
175,2020-03-25,Flanders,85+,F,10
176,2020-03-25,Brussels,45-64,M,1
177,2020-03-25,Brussels,45-64,F,1
178,2020-03-25,Brussels,65-74,M,3
179,2020-03-25,Brussels,65-74,F,1
180,2020-03-25,Brussels,75-84,M,4
181,2020-03-25,Brussels,75-84,F,3
182,2020-03-25,Brussels,85+,M,1
183,2020-03-25,Brussels,85+,F,6
184,2020-03-26,Wallonia,45-64,F,1
185,2020-03-26,Wallonia,65-74,M,4
186,2020-03-26,Wallonia,65-74,F,3
187,2020-03-26,Wallonia,75-84,M,7
188,2020-03-26,Wallonia,75-84,F,10
189,2020-03-26,Wallonia,85+,M,9
190,2020-03-26,Wallonia,85+,F,14
191,2020-03-26,Flanders,25-44,F,1
192,2020-03-26,Flanders,45-64,M,1
193,2020-03-26,Flanders,65-74,M,2
194,2020-03-26,Flanders,65-74,F,1
195,2020-03-26,Flanders,75-84,M,10
196,2020-03-26,Flanders,75-84,F,3
197,2020-03-26,Flanders,85+,M,12
198,2020-03-26,Flanders,85+,F,6
199,2020-03-26,Brussels,45-64,M,4
200,2020-03-26,Brussels,65-74,M,1
201,2020-03-26,Brussels,75-84,M,4
202,2020-03-26,Brussels,75-84,F,2
203,2020-03-26,Brussels,85+,M,4
204,2020-03-26,Brussels,85+,F,3
205,2020-03-27,Wallonia,45-64,M,4
206,2020-03-27,Wallonia,45-64,F,2
207,2020-03-27,Wallonia,65-74,M,1
208,2020-03-27,Wallonia,75-84,M,8
209,2020-03-27,Wallonia,75-84,F,5
210,2020-03-27,Wallonia,85+,M,4
211,2020-03-27,Wallonia,85+,F,14
212,2020-03-27,Flanders,45-64,M,4
213,2020-03-27,Flanders,65-74,M,9
214,2020-03-27,Flanders,75-84,M,11
215,2020-03-27,Flanders,75-84,F,17
216,2020-03-27,Flanders,85+,M,17
217,2020-03-27,Flanders,85+,F,20
218,2020-03-27,Brussels,65-74,M,3
219,2020-03-27,Brussels,65-74,F,2
220,2020-03-27,Brussels,75-84,M,5
221,2020-03-27,Brussels,75-84,F,1
222,2020-03-27,Brussels,85+,M,2
223,2020-03-27,Brussels,85+,F,7
224,2020-03-28,Wallonia,45-64,M,2
225,2020-03-28,Wallonia,65-74,M,3
226,2020-03-28,Wallonia,65-74,F,1
227,2020-03-28,Wallonia,75-84,M,10
228,2020-03-28,Wallonia,75-84,F,5
229,2020-03-28,Wallonia,85+,M,11
230,2020-03-28,Wallonia,85+,F,12
231,2020-03-28,Wallonia,,M,1
232,2020-03-28,Flanders,45-64,M,5
233,2020-03-28,Flanders,45-64,F,1
234,2020-03-28,Flanders,65-74,M,7
235,2020-03-28,Flanders,75-84,M,15
236,2020-03-28,Flanders,75-84,F,16
237,2020-03-28,Flanders,85+,M,14
238,2020-03-28,Flanders,85+,F,15
239,2020-03-28,Brussels,65-74,M,2
240,2020-03-28,Brussels,65-74,F,4
241,2020-03-28,Brussels,75-84,M,2
242,2020-03-28,Brussels,75-84,F,7
243,2020-03-28,Brussels,85+,M,3
244,2020-03-28,Brussels,85+,F,7
245,2020-03-29,Wallonia,45-64,M,1
246,2020-03-29,Wallonia,45-64,F,1
247,2020-03-29,Wallonia,65-74,M,4
248,2020-03-29,Wallonia,65-74,F,5
249,2020-03-29,Wallonia,75-84,M,14
250,2020-03-29,Wallonia,75-84,F,7
251,2020-03-29,Wallonia,85+,M,6
252,2020-03-29,Wallonia,85+,F,19
253,2020-03-29,Flanders,45-64,F,1
254,2020-03-29,Flanders,65-74,M,8
255,2020-03-29,Flanders,65-74,F,4
256,2020-03-29,Flanders,75-84,M,18
257,2020-03-29,Flanders,75-84,F,4
258,2020-03-29,Flanders,85+,M,13
259,2020-03-29,Flanders,85+,F,16
260,2020-03-29,Brussels,25-44,F,1
261,2020-03-29,Brussels,65-74,M,2
262,2020-03-29,Brussels,65-74,F,1
263,2020-03-29,Brussels,75-84,M,4
264,2020-03-29,Brussels,75-84,F,5
265,2020-03-29,Brussels,85+,M,6
266,2020-03-29,Brussels,85+,F,5
267,2020-03-30,Wallonia,45-64,M,5
268,2020-03-30,Wallonia,45-64,F,3
269,2020-03-30,Wallonia,65-74,M,5
270,2020-03-30,Wallonia,75-84,M,8
271,2020-03-30,Wallonia,75-84,F,10
272,2020-03-30,Wallonia,85+,M,13
273,2020-03-30,Wallonia,85+,F,17
274,2020-03-30,Flanders,0-24,F,1
275,2020-03-30,Flanders,45-64,F,2
276,2020-03-30,Flanders,65-74,M,3
277,2020-03-30,Flanders,65-74,F,2
278,2020-03-30,Flanders,75-84,M,18
279,2020-03-30,Flanders,75-84,F,12
280,2020-03-30,Flanders,85+,M,14
281,2020-03-30,Flanders,85+,F,28
282,2020-03-30,Brussels,45-64,M,1
283,2020-03-30,Brussels,45-64,F,1
284,2020-03-30,Brussels,65-74,M,2
285,2020-03-30,Brussels,65-74,F,2
286,2020-03-30,Brussels,75-84,M,5
287,2020-03-30,Brussels,75-84,F,5
288,2020-03-30,Brussels,85+,M,8
289,2020-03-30,Brussels,85+,F,6
290,2020-03-31,Wallonia,25-44,M,1
291,2020-03-31,Wallonia,45-64,M,2
292,2020-03-31,Wallonia,45-64,F,2
293,2020-03-31,Wallonia,65-74,M,4
294,2020-03-31,Wallonia,65-74,F,1
295,2020-03-31,Wallonia,75-84,M,9
296,2020-03-31,Wallonia,75-84,F,11
297,2020-03-31,Wallonia,85+,M,12
298,2020-03-31,Wallonia,85+,F,22
299,2020-03-31,Flanders,45-64,M,4
300,2020-03-31,Flanders,65-74,M,8
301,2020-03-31,Flanders,65-74,F,5
302,2020-03-31,Flanders,75-84,M,19
303,2020-03-31,Flanders,75-84,F,16
304,2020-03-31,Flanders,85+,M,15
305,2020-03-31,Flanders,85+,F,33
306,2020-03-31,Flanders,,M,1
307,2020-03-31,Brussels,45-64,M,4
308,2020-03-31,Brussels,45-64,F,2
309,2020-03-31,Brussels,65-74,M,3
310,2020-03-31,Brussels,65-74,F,2
311,2020-03-31,Brussels,75-84,M,8
312,2020-03-31,Brussels,75-84,F,3
313,2020-03-31,Brussels,85+,M,6
314,2020-03-31,Brussels,85+,F,8
315,2020-04-01,Wallonia,45-64,M,5
316,2020-04-01,Wallonia,45-64,F,1
317,2020-04-01,Wallonia,65-74,M,6
318,2020-04-01,Wallonia,65-74,F,5
319,2020-04-01,Wallonia,75-84,M,10
320,2020-04-01,Wallonia,75-84,F,16
321,2020-04-01,Wallonia,85+,M,19
322,2020-04-01,Wallonia,85+,F,21
323,2020-04-01,Flanders,25-44,M,1
324,2020-04-01,Flanders,45-64,M,4
325,2020-04-01,Flanders,45-64,F,2
326,2020-04-01,Flanders,65-74,M,6
327,2020-04-01,Flanders,65-74,F,3
328,2020-04-01,Flanders,75-84,M,27
329,2020-04-01,Flanders,75-84,F,15
330,2020-04-01,Flanders,85+,M,37
331,2020-04-01,Flanders,85+,F,31
332,2020-04-01,Brussels,45-64,F,2
333,2020-04-01,Brussels,65-74,M,4
334,2020-04-01,Brussels,65-74,F,2
335,2020-04-01,Brussels,75-84,M,4
336,2020-04-01,Brussels,75-84,F,4
337,2020-04-01,Brussels,85+,M,6
338,2020-04-01,Brussels,85+,F,10
339,2020-04-02,Wallonia,45-64,M,3
340,2020-04-02,Wallonia,45-64,F,3
341,2020-04-02,Wallonia,65-74,M,11
342,2020-04-02,Wallonia,65-74,F,9
343,2020-04-02,Wallonia,75-84,M,7
344,2020-04-02,Wallonia,75-84,F,13
345,2020-04-02,Wallonia,85+,M,15
346,2020-04-02,Wallonia,85+,F,11
347,2020-04-02,Flanders,45-64,M,2
348,2020-04-02,Flanders,45-64,F,2
349,2020-04-02,Flanders,65-74,M,11
350,2020-04-02,Flanders,65-74,F,3
351,2020-04-02,Flanders,75-84,M,16
352,2020-04-02,Flanders,75-84,F,9
353,2020-04-02,Flanders,85+,M,26
354,2020-04-02,Flanders,85+,F,34
355,2020-04-02,Brussels,45-64,M,2
356,2020-04-02,Brussels,45-64,F,2
357,2020-04-02,Brussels,65-74,M,1
358,2020-04-02,Brussels,65-74,F,2
359,2020-04-02,Brussels,75-84,M,7
360,2020-04-02,Brussels,75-84,F,10
361,2020-04-02,Brussels,85+,M,8
362,2020-04-02,Brussels,85+,F,7
363,2020-04-03,Wallonia,45-64,M,6
364,2020-04-03,Wallonia,65-74,M,8
365,2020-04-03,Wallonia,65-74,F,4
366,2020-04-03,Wallonia,75-84,M,18
367,2020-04-03,Wallonia,75-84,F,11
368,2020-04-03,Wallonia,85+,M,19
369,2020-04-03,Wallonia,85+,F,25
370,2020-04-03,Flanders,45-64,M,2
371,2020-04-03,Flanders,45-64,F,1
372,2020-04-03,Flanders,65-74,M,8
373,2020-04-03,Flanders,65-74,F,5
374,2020-04-03,Flanders,75-84,M,23
375,2020-04-03,Flanders,75-84,F,11
376,2020-04-03,Flanders,85+,M,29
377,2020-04-03,Flanders,85+,F,37
378,2020-04-03,Flanders,,F,1
379,2020-04-03,Brussels,45-64,M,3
380,2020-04-03,Brussels,45-64,F,1
381,2020-04-03,Brussels,65-74,M,3
382,2020-04-03,Brussels,65-74,F,1
383,2020-04-03,Brussels,75-84,M,7
384,2020-04-03,Brussels,75-84,F,4
385,2020-04-03,Brussels,85+,M,6
386,2020-04-03,Brussels,85+,F,9
387,2020-04-04,Wallonia,25-44,M,1
388,2020-04-04,Wallonia,45-64,M,5
389,2020-04-04,Wallonia,65-74,M,7
390,2020-04-04,Wallonia,65-74,F,7
391,2020-04-04,Wallonia,75-84,M,18
392,2020-04-04,Wallonia,75-84,F,16
393,2020-04-04,Wallonia,85+,M,11
394,2020-04-04,Wallonia,85+,F,21
395,2020-04-04,Wallonia,,M,1
396,2020-04-04,Flanders,45-64,M,2
397,2020-04-04,Flanders,45-64,F,2
398,2020-04-04,Flanders,65-74,M,4
399,2020-04-04,Flanders,65-74,F,3
400,2020-04-04,Flanders,75-84,M,27
401,2020-04-04,Flanders,75-84,F,14
402,2020-04-04,Flanders,85+,M,31
403,2020-04-04,Flanders,85+,F,40
404,2020-04-04,Flanders,,,4
405,2020-04-04,Brussels,45-64,M,1
406,2020-04-04,Brussels,65-74,M,2
407,2020-04-04,Brussels,65-74,F,3
408,2020-04-04,Brussels,75-84,M,12
409,2020-04-04,Brussels,75-84,F,6
410,2020-04-04,Brussels,85+,M,13
411,2020-04-04,Brussels,85+,F,18
412,2020-04-05,Wallonia,45-64,M,3
413,2020-04-05,Wallonia,65-74,M,10
414,2020-04-05,Wallonia,65-74,F,5
415,2020-04-05,Wallonia,75-84,M,13
416,2020-04-05,Wallonia,75-84,F,11
417,2020-04-05,Wallonia,85+,M,18
418,2020-04-05,Wallonia,85+,F,25
419,2020-04-05,Flanders,25-44,F,1
420,2020-04-05,Flanders,45-64,M,3
421,2020-04-05,Flanders,65-74,M,13
422,2020-04-05,Flanders,65-74,F,7
423,2020-04-05,Flanders,75-84,M,15
424,2020-04-05,Flanders,75-84,F,16
425,2020-04-05,Flanders,85+,M,36
426,2020-04-05,Flanders,85+,F,36
427,2020-04-05,Brussels,25-44,M,2
428,2020-04-05,Brussels,45-64,M,3
429,2020-04-05,Brussels,45-64,F,1
430,2020-04-05,Brussels,65-74,M,2
431,2020-04-05,Brussels,65-74,F,1
432,2020-04-05,Brussels,75-84,M,9
433,2020-04-05,Brussels,75-84,F,3
434,2020-04-05,Brussels,85+,M,2
435,2020-04-05,Brussels,85+,F,11
436,2020-04-06,Wallonia,45-64,M,2
437,2020-04-06,Wallonia,45-64,F,1
438,2020-04-06,Wallonia,65-74,M,6
439,2020-04-06,Wallonia,65-74,F,4
440,2020-04-06,Wallonia,75-84,M,13
441,2020-04-06,Wallonia,75-84,F,11
442,2020-04-06,Wallonia,85+,M,17
443,2020-04-06,Wallonia,85+,F,29
444,2020-04-06,Flanders,25-44,M,1
445,2020-04-06,Flanders,25-44,F,1
446,2020-04-06,Flanders,45-64,M,2
447,2020-04-06,Flanders,45-64,F,1
448,2020-04-06,Flanders,65-74,M,8
449,2020-04-06,Flanders,65-74,F,3
450,2020-04-06,Flanders,75-84,M,16
451,2020-04-06,Flanders,75-84,F,18
452,2020-04-06,Flanders,85+,M,30
453,2020-04-06,Flanders,85+,F,41
454,2020-04-06,Brussels,45-64,M,3
455,2020-04-06,Brussels,45-64,F,2
456,2020-04-06,Brussels,65-74,M,5
457,2020-04-06,Brussels,65-74,F,3
458,2020-04-06,Brussels,75-84,M,10
459,2020-04-06,Brussels,75-84,F,8
460,2020-04-06,Brussels,85+,M,9
461,2020-04-06,Brussels,85+,F,11
462,2020-04-07,Wallonia,25-44,M,2
463,2020-04-07,Wallonia,45-64,M,2
464,2020-04-07,Wallonia,45-64,F,2
465,2020-04-07,Wallonia,65-74,M,7
466,2020-04-07,Wallonia,65-74,F,1
467,2020-04-07,Wallonia,75-84,M,21
468,2020-04-07,Wallonia,75-84,F,13
469,2020-04-07,Wallonia,85+,M,19
470,2020-04-07,Wallonia,85+,F,36
471,2020-04-07,Flanders,25-44,M,1
472,2020-04-07,Flanders,45-64,M,1
473,2020-04-07,Flanders,45-64,F,2
474,2020-04-07,Flanders,65-74,M,5
475,2020-04-07,Flanders,65-74,F,4
476,2020-04-07,Flanders,75-84,M,18
477,2020-04-07,Flanders,75-84,F,26
478,2020-04-07,Flanders,85+,M,21
479,2020-04-07,Flanders,85+,F,46
480,2020-04-07,Brussels,45-64,M,3
481,2020-04-07,Brussels,45-64,F,1
482,2020-04-07,Brussels,65-74,M,4
483,2020-04-07,Brussels,65-74,F,3
484,2020-04-07,Brussels,75-84,M,11
485,2020-04-07,Brussels,75-84,F,9
486,2020-04-07,Brussels,85+,M,7
487,2020-04-07,Brussels,85+,F,11
488,2020-04-08,Wallonia,45-64,M,3
489,2020-04-08,Wallonia,45-64,F,3
490,2020-04-08,Wallonia,65-74,M,6
491,2020-04-08,Wallonia,65-74,F,6
492,2020-04-08,Wallonia,75-84,M,12
493,2020-04-08,Wallonia,75-84,F,23
494,2020-04-08,Wallonia,85+,M,25
495,2020-04-08,Wallonia,85+,F,35
496,2020-04-08,Wallonia,,F,1
497,2020-04-08,Flanders,25-44,M,1
498,2020-04-08,Flanders,45-64,M,3
499,2020-04-08,Flanders,45-64,F,2
500,2020-04-08,Flanders,65-74,M,10
501,2020-04-08,Flanders,65-74,F,7
502,2020-04-08,Flanders,75-84,M,20
503,2020-04-08,Flanders,75-84,F,24
504,2020-04-08,Flanders,85+,M,34
505,2020-04-08,Flanders,85+,F,55
506,2020-04-08,Brussels,45-64,F,1
507,2020-04-08,Brussels,65-74,M,2
508,2020-04-08,Brussels,65-74,F,2
509,2020-04-08,Brussels,75-84,M,13
510,2020-04-08,Brussels,75-84,F,8
511,2020-04-08,Brussels,85+,M,8
512,2020-04-08,Brussels,85+,F,20
513,2020-04-09,Wallonia,45-64,M,3
514,2020-04-09,Wallonia,45-64,F,3
515,2020-04-09,Wallonia,65-74,M,14
516,2020-04-09,Wallonia,65-74,F,5
517,2020-04-09,Wallonia,75-84,M,11
518,2020-04-09,Wallonia,75-84,F,14
519,2020-04-09,Wallonia,85+,M,17
520,2020-04-09,Wallonia,85+,F,38
521,2020-04-09,Flanders,25-44,F,1
522,2020-04-09,Flanders,45-64,M,1
523,2020-04-09,Flanders,45-64,F,1
524,2020-04-09,Flanders,65-74,M,4
525,2020-04-09,Flanders,65-74,F,4
526,2020-04-09,Flanders,75-84,M,27
527,2020-04-09,Flanders,75-84,F,15
528,2020-04-09,Flanders,85+,M,24
529,2020-04-09,Flanders,85+,F,47
530,2020-04-09,Brussels,45-64,M,3
531,2020-04-09,Brussels,45-64,F,3
532,2020-04-09,Brussels,65-74,M,1
533,2020-04-09,Brussels,75-84,M,7
534,2020-04-09,Brussels,75-84,F,5
535,2020-04-09,Brussels,85+,M,6
536,2020-04-09,Brussels,85+,F,16
537,2020-04-10,Wallonia,45-64,M,4
538,2020-04-10,Wallonia,45-64,F,1
539,2020-04-10,Wallonia,65-74,M,6
540,2020-04-10,Wallonia,65-74,F,6
541,2020-04-10,Wallonia,75-84,M,15
542,2020-04-10,Wallonia,75-84,F,18
543,2020-04-10,Wallonia,85+,M,21
544,2020-04-10,Wallonia,85+,F,36
545,2020-04-10,Flanders,45-64,M,3
546,2020-04-10,Flanders,45-64,F,3
547,2020-04-10,Flanders,65-74,M,6
548,2020-04-10,Flanders,65-74,F,4
549,2020-04-10,Flanders,75-84,M,21
550,2020-04-10,Flanders,75-84,F,21
551,2020-04-10,Flanders,85+,M,34
552,2020-04-10,Flanders,85+,F,48
553,2020-04-10,Brussels,45-64,M,1
554,2020-04-10,Brussels,45-64,F,1
555,2020-04-10,Brussels,65-74,M,4
556,2020-04-10,Brussels,75-84,M,17
557,2020-04-10,Brussels,75-84,F,10
558,2020-04-10,Brussels,85+,M,13
559,2020-04-10,Brussels,85+,F,11
560,2020-04-11,Wallonia,45-64,M,6
561,2020-04-11,Wallonia,45-64,F,5
562,2020-04-11,Wallonia,65-74,M,8
563,2020-04-11,Wallonia,65-74,F,10
564,2020-04-11,Wallonia,75-84,M,18
565,2020-04-11,Wallonia,75-84,F,15
566,2020-04-11,Wallonia,85+,M,21
567,2020-04-11,Wallonia,85+,F,49
568,2020-04-11,Flanders,45-64,M,2
569,2020-04-11,Flanders,45-64,F,2
570,2020-04-11,Flanders,65-74,M,5
571,2020-04-11,Flanders,65-74,F,2
572,2020-04-11,Flanders,75-84,M,21
573,2020-04-11,Flanders,75-84,F,16
574,2020-04-11,Flanders,85+,M,28
575,2020-04-11,Flanders,85+,F,41
576,2020-04-11,Flanders,,,2
577,2020-04-11,Brussels,45-64,M,1
578,2020-04-11,Brussels,45-64,F,1
579,2020-04-11,Brussels,65-74,M,2
580,2020-04-11,Brussels,65-74,F,1
581,2020-04-11,Brussels,75-84,M,6
582,2020-04-11,Brussels,75-84,F,5
583,2020-04-11,Brussels,85+,M,10
584,2020-04-11,Brussels,85+,F,11
585,2020-04-12,Wallonia,45-64,M,5
586,2020-04-12,Wallonia,45-64,F,4
587,2020-04-12,Wallonia,65-74,M,8
588,2020-04-12,Wallonia,65-74,F,2
589,2020-04-12,Wallonia,75-84,M,16
590,2020-04-12,Wallonia,75-84,F,16
591,2020-04-12,Wallonia,85+,M,18
592,2020-04-12,Wallonia,85+,F,33
593,2020-04-12,Flanders,45-64,M,4
594,2020-04-12,Flanders,45-64,F,2
595,2020-04-12,Flanders,65-74,M,8
596,2020-04-12,Flanders,75-84,M,23
597,2020-04-12,Flanders,75-84,F,15
598,2020-04-12,Flanders,85+,M,35
599,2020-04-12,Flanders,85+,F,35
600,2020-04-12,Brussels,25-44,M,1
601,2020-04-12,Brussels,45-64,M,3
602,2020-04-12,Brussels,45-64,F,1
603,2020-04-12,Brussels,65-74,M,8
604,2020-04-12,Brussels,65-74,F,1
605,2020-04-12,Brussels,75-84,M,7
606,2020-04-12,Brussels,75-84,F,6
607,2020-04-12,Brussels,85+,M,4
608,2020-04-12,Brussels,85+,F,13
609,2020-04-13,Wallonia,45-64,M,4
610,2020-04-13,Wallonia,45-64,F,2
611,2020-04-13,Wallonia,65-74,M,6
612,2020-04-13,Wallonia,65-74,F,1
613,2020-04-13,Wallonia,75-84,M,13
614,2020-04-13,Wallonia,75-84,F,19
615,2020-04-13,Wallonia,85+,M,18
616,2020-04-13,Wallonia,85+,F,26
617,2020-04-13,Flanders,45-64,M,6
618,2020-04-13,Flanders,45-64,F,4
619,2020-04-13,Flanders,65-74,M,7
620,2020-04-13,Flanders,65-74,F,5
621,2020-04-13,Flanders,75-84,M,22
622,2020-04-13,Flanders,75-84,F,20
623,2020-04-13,Flanders,85+,M,35
624,2020-04-13,Flanders,85+,F,51
625,2020-04-13,Brussels,65-74,M,4
626,2020-04-13,Brussels,65-74,F,2
627,2020-04-13,Brussels,75-84,M,4
628,2020-04-13,Brussels,75-84,F,5
629,2020-04-13,Brussels,85+,M,8
630,2020-04-13,Brussels,85+,F,13
631,2020-04-14,Wallonia,45-64,M,4
632,2020-04-14,Wallonia,45-64,F,2
633,2020-04-14,Wallonia,65-74,M,5
