Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Weinig (%),Neutraal (%),Veel (%)
 Geetbets ,24028,nee,Vertrouwen in politie ,2020,0.23,0.42,0.35
 Genk ,71016,ja,Vertrouwen in politie ,2008,0.2,0.43,0.37
 Genk ,71016,ja,Vertrouwen in politie ,2011,0.21,0.4,0.39
 Genk ,71016,ja,Vertrouwen in politie ,2014,0.23,0.4,0.37
 Genk ,71016,ja,Vertrouwen in politie ,2017,0.17,0.4,0.43
 Genk ,71016,ja,Vertrouwen in politie ,2020,0.16,0.36,0.47
 Gent ,44021,ja,Vertrouwen in politie ,2008,0.22,0.38,0.41
 Gent ,44021,ja,Vertrouwen in politie ,2011,0.2,0.43,0.37
 Gent ,44021,ja,Vertrouwen in politie ,2014,0.2,0.4,0.4
 Gent ,44021,ja,Vertrouwen in politie ,2017,0.15,0.4,0.45
 Gent ,44021,ja,Vertrouwen in politie ,2020,0.15,0.37,0.48
 Geraardsbergen ,41018,nee,Vertrouwen in politie ,2017,0.16,0.45,0.39
 Geraardsbergen ,41018,nee,Vertrouwen in politie ,2020,0.22,0.44,0.34
 Gingelom ,71017,nee,Vertrouwen in politie ,2017,0.12,0.45,0.43
 Gingelom ,71017,nee,Vertrouwen in politie ,2020,0.18,0.41,0.41
 Gistel ,35005,nee,Vertrouwen in politie ,2017,0.18,0.38,0.44
 Gistel ,35005,nee,Vertrouwen in politie ,2020,0.15,0.39,0.46
 Glabbeek ,24137,nee,Vertrouwen in politie ,2017,0.12,0.35,0.53
 Glabbeek ,24137,nee,Vertrouwen in politie ,2020,0.1,0.35,0.56
 Gooik ,23024,nee,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Gooik ,23024,nee,Vertrouwen in politie ,2020,0.13,0.38,0.49
 Grimbergen ,23025,nee,Vertrouwen in politie ,2017,0.12,0.35,0.53
 Grimbergen ,23025,nee,Vertrouwen in politie ,2020,0.13,0.37,0.5
 Grobbendonk ,13010,nee,Vertrouwen in politie ,2017,0.16,0.38,0.46
 Grobbendonk ,13010,nee,Vertrouwen in politie ,2020,0.14,0.43,0.43
 Haacht ,24033,nee,Vertrouwen in politie ,2017,0.12,0.35,0.53
 Haacht ,24033,nee,Vertrouwen in politie ,2020,0.14,0.43,0.43
 Haaltert ,41024,nee,Vertrouwen in politie ,2017,0.15,0.42,0.43
 Haaltert ,41024,nee,Vertrouwen in politie ,2020,0.15,0.44,0.41
 Halen ,71020,nee,Vertrouwen in politie ,2017,0.16,0.42,0.42
 Halen ,71020,nee,Vertrouwen in politie ,2020,0.14,0.42,0.44
 Halle ,23027,nee,Vertrouwen in politie ,2017,0.16,0.38,0.46
 Halle ,23027,nee,Vertrouwen in politie ,2020,0.21,0.37,0.42
 Ham ,71069,nee,Vertrouwen in politie ,2017,0.12,0.41,0.47
 Ham ,71069,nee,Vertrouwen in politie ,2020,0.12,0.45,0.43
 Hamme ,42008,nee,Vertrouwen in politie ,2017,0.11,0.38,0.51
 Hamme ,42008,nee,Vertrouwen in politie ,2020,0.14,0.39,0.48
 Hamont-Achel ,72037,nee,Vertrouwen in politie ,2017,0.1,0.36,0.55
 Hamont-Achel ,72037,nee,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Harelbeke ,34013,nee,Vertrouwen in politie ,2017,0.14,0.34,0.52
 Harelbeke ,34013,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Hasselt ,71022,ja,Vertrouwen in politie ,2008,0.18,0.42,0.4
 Hasselt ,71022,ja,Vertrouwen in politie ,2011,0.18,0.41,0.41
 Hasselt ,71022,ja,Vertrouwen in politie ,2014,0.21,0.42,0.37
 Hasselt ,71022,ja,Vertrouwen in politie ,2017,0.18,0.39,0.43
 Hasselt ,71022,ja,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Hechtel ,72038,nee,Vertrouwen in politie ,2017,0.12,0.38,0.5
 Hechtel ,72038,nee,Vertrouwen in politie ,2020,0.1,0.38,0.52
 Heers ,73022,nee,Vertrouwen in politie ,2017,0.18,0.37,0.45
 Heers ,73022,nee,Vertrouwen in politie ,2020,0.18,0.39,0.43
 Heist-Op-Den-Berg ,12014,nee,Vertrouwen in politie ,2017,0.11,0.42,0.47
 Heist-Op-Den-Berg ,12014,nee,Vertrouwen in politie ,2020,0.13,0.4,0.46
 Hemiksem ,11018,nee,Vertrouwen in politie ,2017,0.13,0.36,0.51
 Hemiksem ,11018,nee,Vertrouwen in politie ,2020,0.19,0.44,0.37
 Herent ,24038,nee,Vertrouwen in politie ,2017,0.11,0.34,0.55
 Herent ,24038,nee,Vertrouwen in politie ,2020,0.12,0.39,0.49
 Herentals ,13011,nee,Vertrouwen in politie ,2017,0.16,0.35,0.48
 Herentals ,13011,nee,Vertrouwen in politie ,2020,0.17,0.45,0.38
 Herenthout ,13012,nee,Vertrouwen in politie ,2017,0.14,0.39,0.47
 Herenthout ,13012,nee,Vertrouwen in politie ,2020,0.17,0.41,0.42
 Herk-De-Stad ,71024,nee,Vertrouwen in politie ,2017,0.12,0.41,0.46
 Herk-De-Stad ,71024,nee,Vertrouwen in politie ,2020,0.17,0.43,0.4
 Herne ,23032,nee,Vertrouwen in politie ,2017,0.11,0.37,0.53
 Herne ,23032,nee,Vertrouwen in politie ,2020,0.13,0.4,0.46
 Herselt ,13013,nee,Vertrouwen in politie ,2017,0.15,0.38,0.47
 Herselt ,13013,nee,Vertrouwen in politie ,2020,0.1,0.37,0.52
 Herzele ,41027,nee,Vertrouwen in politie ,2017,0.11,0.39,0.5
 Herzele ,41027,nee,Vertrouwen in politie ,2020,0.17,0.39,0.44
 Heusden-Zolder ,71070,nee,Vertrouwen in politie ,2017,0.16,0.41,0.44
 Heusden-Zolder ,71070,nee,Vertrouwen in politie ,2020,0.16,0.39,0.45
 Heuvelland ,33039,nee,Vertrouwen in politie ,2017,0.13,0.41,0.45
 Heuvelland ,33039,nee,Vertrouwen in politie ,2020,0.17,0.38,0.45
 Hoegaarden ,24041,nee,Vertrouwen in politie ,2017,0.12,0.35,0.53
 Hoegaarden ,24041,nee,Vertrouwen in politie ,2020,0.16,0.36,0.47
 Hoeilaart ,23033,nee,Vertrouwen in politie ,2017,0.1,0.3,0.6
 Hoeilaart ,23033,nee,Vertrouwen in politie ,2020,0.12,0.36,0.52
 Hoeselt ,73032,nee,Vertrouwen in politie ,2017,0.19,0.35,0.46
 Hoeselt ,73032,nee,Vertrouwen in politie ,2020,0.18,0.4,0.42
 Holsbeek ,24043,nee,Vertrouwen in politie ,2017,0.15,0.39,0.46
 Holsbeek ,24043,nee,Vertrouwen in politie ,2020,0.13,0.43,0.44
 Hooglede ,36006,nee,Vertrouwen in politie ,2017,0.13,0.35,0.52
 Hooglede ,36006,nee,Vertrouwen in politie ,2020,0.12,0.39,0.49
 Hoogstraten ,13014,nee,Vertrouwen in politie ,2017,0.09,0.44,0.47
 Hoogstraten ,13014,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Horebeke ,45062,nee,Vertrouwen in politie ,2017,0.16,0.37,0.47
 Horebeke ,45062,nee,Vertrouwen in politie ,2020,0.12,0.39,0.49
 Houthalen-Helchteren ,72039,nee,Vertrouwen in politie ,2017,0.21,0.38,0.41
 Houthalen-Helchteren ,72039,nee,Vertrouwen in politie ,2020,0.21,0.4,0.4
 Houthulst ,32006,nee,Vertrouwen in politie ,2017,0.18,0.42,0.39
 Houthulst ,32006,nee,Vertrouwen in politie ,2020,0.16,0.4,0.44
 Hove ,11021,nee,Vertrouwen in politie ,2017,0.09,0.37,0.54
 Hove ,11021,nee,Vertrouwen in politie ,2020,0.13,0.37,0.5
 Huldenberg ,24045,nee,Vertrouwen in politie ,2017,0.17,0.37,0.47
 Huldenberg ,24045,nee,Vertrouwen in politie ,2020,0.12,0.41,0.47
 Hulshout ,13016,nee,Vertrouwen in politie ,2017,0.14,0.39,0.47
 Hulshout ,13016,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Ichtegem ,35006,nee,Vertrouwen in politie ,2017,0.16,0.4,0.45
 Ichtegem ,35006,nee,Vertrouwen in politie ,2020,0.19,0.4,0.41
 Ieper ,33011,nee,Vertrouwen in politie ,2017,0.14,0.39,0.47
 Ieper ,33011,nee,Vertrouwen in politie ,2020,0.16,0.4,0.44
 Ingelmunster ,36007,nee,Vertrouwen in politie ,2017,0.19,0.42,0.39
 Ingelmunster ,36007,nee,Vertrouwen in politie ,2020,0.17,0.41,0.42
 Izegem ,36008,nee,Vertrouwen in politie ,2017,0.16,0.38,0.46
 Izegem ,36008,nee,Vertrouwen in politie ,2020,0.17,0.4,0.43
 Jabbeke ,31012,nee,Vertrouwen in politie ,2017,0.12,0.4,0.48
 Jabbeke ,31012,nee,Vertrouwen in politie ,2020,0.13,0.39,0.48
 Kalmthout ,11022,nee,Vertrouwen in politie ,2017,0.11,0.33,0.56
 Kalmthout ,11022,nee,Vertrouwen in politie ,2020,0.11,0.37,0.52
 Kampenhout ,23038,nee,Vertrouwen in politie ,2017,0.11,0.35,0.54
 Kampenhout ,23038,nee,Vertrouwen in politie ,2020,0.12,0.43,0.45
 Kapellen ,11023,nee,Vertrouwen in politie ,2017,0.1,0.35,0.55
 Kapellen ,11023,nee,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Kapelle-Op-Den-Bos ,23039,nee,Vertrouwen in politie ,2017,0.15,0.39,0.46
 Kapelle-Op-Den-Bos ,23039,nee,Vertrouwen in politie ,2020,0.17,0.43,0.4
 Kaprijke ,43007,nee,Vertrouwen in politie ,2017,0.13,0.4,0.47
 Kaprijke ,43007,nee,Vertrouwen in politie ,2020,0.13,0.34,0.53
 Kasterlee ,13017,nee,Vertrouwen in politie ,2017,0.11,0.4,0.49
 Kasterlee ,13017,nee,Vertrouwen in politie ,2020,0.13,0.39,0.48
 Keerbergen ,24048,nee,Vertrouwen in politie ,2017,0.11,0.37,0.52
 Keerbergen ,24048,nee,Vertrouwen in politie ,2020,0.13,0.43,0.45
 Kinrooi ,72018,nee,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Kinrooi ,72018,nee,Vertrouwen in politie ,2020,0.15,0.37,0.48
 Kluisbergen ,45060,nee,Vertrouwen in politie ,2017,0.17,0.37,0.47
 Kluisbergen ,45060,nee,Vertrouwen in politie ,2020,0.14,0.37,0.48
 Knesselare ,44029,nee,Vertrouwen in politie ,2017,0.15,0.45,0.4
 Knokke-Heist ,31043,nee,Vertrouwen in politie ,2017,0.11,0.31,0.58
 Knokke-Heist ,31043,nee,Vertrouwen in politie ,2020,0.09,0.32,0.59
 Koekelare ,32010,nee,Vertrouwen in politie ,2017,0.16,0.37,0.47
 Koekelare ,32010,nee,Vertrouwen in politie ,2020,0.15,0.34,0.51
 Koksijde ,38014,nee,Vertrouwen in politie ,2017,0.1,0.31,0.59
 Koksijde ,38014,nee,Vertrouwen in politie ,2020,0.11,0.32,0.57
 Kontich ,11024,nee,Vertrouwen in politie ,2017,0.15,0.33,0.52
 Kontich ,11024,nee,Vertrouwen in politie ,2020,0.12,0.37,0.51
 Kortemark ,32011,nee,Vertrouwen in politie ,2017,0.17,0.39,0.43
 Kortemark ,32011,nee,Vertrouwen in politie ,2020,0.13,0.44,0.43
 Kortenaken ,24054,nee,Vertrouwen in politie ,2017,0.11,0.34,0.54
 Kortenaken ,24054,nee,Vertrouwen in politie ,2020,0.14,0.35,0.52
 Kortenberg ,24055,nee,Vertrouwen in politie ,2017,0.17,0.34,0.49
 Kortenberg ,24055,nee,Vertrouwen in politie ,2020,0.16,0.36,0.48
 Kortessem ,73040,nee,Vertrouwen in politie ,2017,0.14,0.38,0.48
 Kortessem ,73040,nee,Vertrouwen in politie ,2020,0.18,0.41,0.41
 Kortrijk ,34022,ja,Vertrouwen in politie ,2008,0.19,0.44,0.37
 Kortrijk ,34022,ja,Vertrouwen in politie ,2011,0.21,0.46,0.34
 Kortrijk ,34022,ja,Vertrouwen in politie ,2014,0.16,0.46,0.38
 Kortrijk ,34022,ja,Vertrouwen in politie ,2017,0.16,0.4,0.45
 Kortrijk ,34022,ja,Vertrouwen in politie ,2020,0.14,0.37,0.49
 Kraainem ,23099,nee,Vertrouwen in politie ,2017,0.11,0.25,0.63
 Kraainem ,23099,nee,Vertrouwen in politie ,2020,0.14,0.31,0.56
 Kruibeke ,46013,nee,Vertrouwen in politie ,2017,0.14,0.35,0.51
 Kruibeke ,46013,nee,Vertrouwen in politie ,2020,0.17,0.37,0.46
 Kruisem ,45068,nee,Vertrouwen in politie ,2020,0.12,0.41,0.47
 Kruishoutem ,45017,nee,Vertrouwen in politie ,2017,0.13,0.35,0.52
 Kuurne ,34023,nee,Vertrouwen in politie ,2017,0.1,0.33,0.56
 Kuurne ,34023,nee,Vertrouwen in politie ,2020,0.1,0.37,0.53
 Laakdal ,13053,nee,Vertrouwen in politie ,2017,0.14,0.41,0.45
 Laakdal ,13053,nee,Vertrouwen in politie ,2020,0.13,0.36,0.51
 Laarne ,42010,nee,Vertrouwen in politie ,2017,0.11,0.37,0.51
 Laarne ,42010,nee,Vertrouwen in politie ,2020,0.07,0.34,0.58
 Lanaken ,73042,nee,Vertrouwen in politie ,2017,0.16,0.41,0.43
 Lanaken ,73042,nee,Vertrouwen in politie ,2020,0.18,0.42,0.4
 Landen ,24059,nee,Vertrouwen in politie ,2017,0.16,0.4,0.44
 Landen ,24059,nee,Vertrouwen in politie ,2020,0.21,0.41,0.38
 Langemark-Poelkapelle ,33040,nee,Vertrouwen in politie ,2017,0.14,0.37,0.49
 Langemark-Poelkapelle ,33040,nee,Vertrouwen in politie ,2020,0.14,0.33,0.53
 Lebbeke ,42011,nee,Vertrouwen in politie ,2017,0.11,0.39,0.49
 Lebbeke ,42011,nee,Vertrouwen in politie ,2020,0.14,0.39,0.46
 Lede ,41034,nee,Vertrouwen in politie ,2017,0.11,0.43,0.47
 Lede ,41034,nee,Vertrouwen in politie ,2020,0.15,0.38,0.46
 Ledegem ,36010,nee,Vertrouwen in politie ,2017,0.11,0.36,0.53
 Ledegem ,36010,nee,Vertrouwen in politie ,2020,0.13,0.37,0.5
 Lendelede ,34025,nee,Vertrouwen in politie ,2017,0.14,0.34,0.53
 Lendelede ,34025,nee,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Lennik ,23104,nee,Vertrouwen in politie ,2017,0.13,0.35,0.52
 Lennik ,23104,nee,Vertrouwen in politie ,2020,0.15,0.31,0.54
 Leopoldsburg ,71034,nee,Vertrouwen in politie ,2017,0.17,0.38,0.45
 Leopoldsburg ,71034,nee,Vertrouwen in politie ,2020,0.18,0.36,0.46
 Leuven ,24062,ja,Vertrouwen in politie ,2008,0.2,0.38,0.42
 Leuven ,24062,ja,Vertrouwen in politie ,2011,0.22,0.4,0.38
