Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Contact gemeente/stad,2017,0.43,0.57
 Aalst ,41002,ja,Contact gemeente/stad,2020,0.58,0.42
 Aalter ,44084,nee,Contact gemeente/stad,2020,0.63,0.37
 Aarschot ,24001,nee,Contact gemeente/stad,2020,0.56,0.44
 Aartselaar ,11001,nee,Contact gemeente/stad,2020,0.6,0.4
 Affligem ,23105,nee,Contact gemeente/stad,2020,0.58,0.42
 Alken ,73001,nee,Contact gemeente/stad,2020,0.59,0.41
 Alveringem ,38002,nee,Contact gemeente/stad,2020,0.61,0.39
 Antwerpen ,11002,ja,Contact gemeente/stad,2017,0.4,0.6
 Antwerpen ,11002,ja,Contact gemeente/stad,2020,0.6,0.4
 Anzegem ,34002,nee,Contact gemeente/stad,2020,0.58,0.42
 Ardooie ,37020,nee,Contact gemeente/stad,2020,0.66,0.34
 Arendonk ,13001,nee,Contact gemeente/stad,2020,0.62,0.38
 As ,71002,nee,Contact gemeente/stad,2020,0.64,0.36
 Asse ,23002,nee,Contact gemeente/stad,2020,0.59,0.41
 Assenede ,43002,nee,Contact gemeente/stad,2020,0.64,0.36
 Avelgem ,34003,nee,Contact gemeente/stad,2020,0.6,0.4
 Baarle-Hertog ,13002,nee,Contact gemeente/stad,2020,0.74,0.26
 Balen ,13003,nee,Contact gemeente/stad,2020,0.59,0.41
 Beernem ,31003,nee,Contact gemeente/stad,2020,0.58,0.42
 Beerse ,13004,nee,Contact gemeente/stad,2020,0.56,0.44
 Beersel ,23003,nee,Contact gemeente/stad,2020,0.61,0.39
 Begijnendijk ,24007,nee,Contact gemeente/stad,2020,0.61,0.39
 Bekkevoort ,24008,nee,Contact gemeente/stad,2020,0.6,0.4
 Beringen ,71004,nee,Contact gemeente/stad,2020,0.52,0.48
 Berlaar ,12002,nee,Contact gemeente/stad,2020,0.59,0.41
 Berlare ,42003,nee,Contact gemeente/stad,2020,0.62,0.38
 Bertem ,24009,nee,Contact gemeente/stad,2020,0.66,0.34
 Bever ,23009,nee,Contact gemeente/stad,2020,0.67,0.33
 Beveren ,46003,nee,Contact gemeente/stad,2020,0.53,0.47
 Bierbeek ,24011,nee,Contact gemeente/stad,2020,0.6,0.4
 Bilzen ,73006,nee,Contact gemeente/stad,2020,0.54,0.46
 Blankenberge ,31004,nee,Contact gemeente/stad,2020,0.59,0.41
 Bocholt ,72003,nee,Contact gemeente/stad,2020,0.58,0.42
 Boechout ,11004,nee,Contact gemeente/stad,2020,0.6,0.4
 Bonheiden ,12005,nee,Contact gemeente/stad,2020,0.65,0.35
 Boom ,11005,nee,Contact gemeente/stad,2020,0.6,0.4
 Boortmeerbeek ,24014,nee,Contact gemeente/stad,2020,0.6,0.4
 Borgloon ,73009,nee,Contact gemeente/stad,2020,0.57,0.43
 Bornem ,12007,nee,Contact gemeente/stad,2020,0.55,0.45
 Borsbeek ,11007,nee,Contact gemeente/stad,2020,0.56,0.44
 Boutersem ,24016,nee,Contact gemeente/stad,2020,0.6,0.4
 Brakel ,45059,nee,Contact gemeente/stad,2020,0.58,0.42
 Brasschaat ,11008,nee,Contact gemeente/stad,2020,0.62,0.38
 Brecht ,11009,nee,Contact gemeente/stad,2020,0.57,0.43
 Bredene ,35002,nee,Contact gemeente/stad,2020,0.6,0.4
 Bree ,72004,nee,Contact gemeente/stad,2020,0.68,0.32
 Brugge ,31005,ja,Contact gemeente/stad,2017,0.41,0.59
 Brugge ,31005,ja,Contact gemeente/stad,2020,0.57,0.43
 Buggenhout ,42004,nee,Contact gemeente/stad,2020,0.59,0.41
 Damme ,31006,nee,Contact gemeente/stad,2020,0.62,0.38
 De Haan ,35029,nee,Contact gemeente/stad,2020,0.66,0.34
 De Panne ,38008,nee,Contact gemeente/stad,2020,0.62,0.38
 De Pinte ,44012,nee,Contact gemeente/stad,2020,0.62,0.38
 Deerlijk ,34009,nee,Contact gemeente/stad,2020,0.57,0.43
 Deinze ,44083,nee,Contact gemeente/stad,2020,0.57,0.43
 Denderleeuw ,41011,nee,Contact gemeente/stad,2020,0.58,0.42
 Dendermonde ,42006,nee,Contact gemeente/stad,2020,0.53,0.47
 Dentergem ,37002,nee,Contact gemeente/stad,2020,0.53,0.47
 Dessel ,13006,nee,Contact gemeente/stad,2020,0.55,0.45
 Destelbergen ,44013,nee,Contact gemeente/stad,2020,0.59,0.41
 Diepenbeek ,71011,nee,Contact gemeente/stad,2020,0.52,0.48
 Diest ,24020,nee,Contact gemeente/stad,2020,0.51,0.49
 Diksmuide ,32003,nee,Contact gemeente/stad,2020,0.55,0.45
 Dilbeek ,23016,nee,Contact gemeente/stad,2020,0.58,0.42
 Dilsen-Stokkem ,72041,nee,Contact gemeente/stad,2020,0.55,0.45
 Drogenbos ,23098,nee,Contact gemeente/stad,2020,0.65,0.35
 Duffel ,12009,nee,Contact gemeente/stad,2020,0.6,0.4
 Edegem ,11013,nee,Contact gemeente/stad,2020,0.61,0.39
 Eeklo ,43005,nee,Contact gemeente/stad,2020,0.49,0.51
 Erpe-Mere ,41082,nee,Contact gemeente/stad,2020,0.58,0.42
 Essen ,11016,nee,Contact gemeente/stad,2020,0.68,0.32
 Evergem ,44019,nee,Contact gemeente/stad,2020,0.58,0.42
 Galmaarden ,23023,nee,Contact gemeente/stad,2020,0.61,0.39
 Gavere ,44020,nee,Contact gemeente/stad,2020,0.63,0.37
 Geel ,13008,nee,Contact gemeente/stad,2020,0.54,0.46
 Geetbets ,24028,nee,Contact gemeente/stad,2020,0.58,0.42
 Genk ,71016,ja,Contact gemeente/stad,2017,0.41,0.59
 Genk ,71016,ja,Contact gemeente/stad,2020,0.64,0.36
 Gent ,44021,ja,Contact gemeente/stad,2017,0.4,0.6
 Gent ,44021,ja,Contact gemeente/stad,2020,0.56,0.44
 Geraardsbergen ,41018,nee,Contact gemeente/stad,2020,0.48,0.52
 Gingelom ,71017,nee,Contact gemeente/stad,2020,0.67,0.33
 Gistel ,35005,nee,Contact gemeente/stad,2020,0.58,0.42
 Glabbeek ,24137,nee,Contact gemeente/stad,2020,0.7,0.3
 Gooik ,23024,nee,Contact gemeente/stad,2020,0.57,0.43
 Grimbergen ,23025,nee,Contact gemeente/stad,2020,0.59,0.41
