Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Bilzen ,73006,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.19,0.7
 Blankenberge ,31004,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.32,0.58
 Blankenberge ,31004,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.26,0.64
 Bocholt ,72003,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.33,0.58
 Bocholt ,72003,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.26,0.67
 Boechout ,11004,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.25,0.68
 Boechout ,11004,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.19,0.74
 Bonheiden ,12005,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.25,0.7
 Bonheiden ,12005,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.18,0.74
 Boom ,11005,nee,Tevredenheid over digitale dienstverlening ,2017,0.13,0.26,0.61
 Boom ,11005,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.19,0.7
 Boortmeerbeek ,24014,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.26,0.67
 Boortmeerbeek ,24014,nee,Tevredenheid over digitale dienstverlening ,2020,0.13,0.26,0.61
 Borgloon ,73009,nee,Tevredenheid over digitale dienstverlening ,2017,0.17,0.28,0.54
 Borgloon ,73009,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.27,0.6
 Bornem ,12007,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.2,0.74
 Bornem ,12007,nee,Tevredenheid over digitale dienstverlening ,2020,0.1,0.21,0.68
 Borsbeek ,11007,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.25,0.67
 Borsbeek ,11007,nee,Tevredenheid over digitale dienstverlening ,2020,0.13,0.2,0.67
 Boutersem ,24016,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.28,0.63
 Boutersem ,24016,nee,Tevredenheid over digitale dienstverlening ,2020,0.17,0.26,0.57
 Brakel ,45059,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.37,0.56
 Brakel ,45059,nee,Tevredenheid over digitale dienstverlening ,2020,0.17,0.21,0.62
 Brasschaat ,11008,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.18,0.73
 Brasschaat ,11008,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.19,0.71
 Brecht ,11009,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.28,0.66
 Brecht ,11009,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.25,0.63
 Bredene ,35002,nee,Tevredenheid over digitale dienstverlening ,2017,0.01,0.14,0.85
 Bredene ,35002,nee,Tevredenheid over digitale dienstverlening ,2020,0.05,0.14,0.81
 Bree ,72004,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.26,0.67
 Bree ,72004,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.19,0.74
 Brugge ,31005,ja,Tevredenheid over digitale dienstverlening ,2020,0.06,0.19,0.75
 Buggenhout ,42004,nee,Tevredenheid over digitale dienstverlening ,2017,0.17,0.23,0.6
 Buggenhout ,42004,nee,Tevredenheid over digitale dienstverlening ,2020,0.1,0.24,0.66
 Damme ,31006,nee,Tevredenheid over digitale dienstverlening ,2017,0.12,0.29,0.6
 Damme ,31006,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.23,0.66
 De Haan ,35029,nee,Tevredenheid over digitale dienstverlening ,2017,0.18,0.32,0.51
 De Haan ,35029,nee,Tevredenheid over digitale dienstverlening ,2020,0.15,0.26,0.59
