default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.oauth_scope;default.parent_domain;custom.update2;datasetid
Personeel van Infrabel uitsplitsing naar geslacht;<p>Personeel betaald door Infrabel, uitgedrukt in aantal personen en verdeeld per geslacht.</p><p>Disclaimer : de statistieken in deze dataset worden op maandbasis gepresenteerd, maar worden elke ochtend bijgewerkt na interne herberekeningen. Het is daarom mogelijk dat de cijfers enigszins afwijken, zowel voor de huidige periode - als die wordt gegeven - als voor eerdere periodes. </p><div><br/></div>;Human resources;Human resources;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:04.379000+00:00;True;True;2024-01-30T07:02:05+00:00;2024-02-01T02:24:22.461000+00:00;;False;;;;Human Resources and Organization;;144;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;verdeling-man-vrouw-van-het-personeel
Seinvoorbijrijding in bijsporen;"<p>Een seinvoorbijrijding het de voorbijrijden van een signaal met een gesloten uiterlijk. Deze dataset bevat het aantal SPAD (« Signal Passed At Danger ») op de bijsporen.</p><p>Een seinvoorbijrijding leidt zeker niet systematisch tot een gevaarlijke situatie. Naar analogie is het gemakkelijk om dit probleem te vergelijken met dat van automobilisten die door een rood licht rijden en zich zo blootstellen aan een mogelijke botsing met voertuigen die het kruispunt oprijden. In de spoorwegwereld wordt dit kruispunt, wanneer een sein wordt overschreden, ""het eerste gevaarlijke punt"" genoemd, vanwaar de trein die het gesloten sein gepasseerd is, kan botsen met een andere trein.</p>";Veiligheid;Seinvoorbijrijding;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-10-26T06:24:41.088000+00:00;True;True;2023-05-05T10:20:39+00:00;2024-02-01T02:24:09.012000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;12;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;seinvoorbijrijding-in-bijsporen
Maandelijks aantal medewerkers;<p>Maandelijks aantal medewerkers betaald door Infrabel, uitgedrukt in aantal personen en aantal voltijds equivalenten.</p><p>Disclaimer : de statistieken in deze dataset worden op maandbasis gepresenteerd, maar worden elke ochtend bijgewerkt na interne herberekeningen. Het is daarom mogelijk dat de cijfers enigszins afwijken, zowel voor de huidige periode - als die wordt gegeven - als voor eerdere periodes. </p><div><br/></div>;Human resources;Medewerkers,VTE,Human resources;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2023-10-11T07:13:48.777000+00:00;True;True;2024-01-30T07:02:18+00:00;2024-02-01T02:24:28.963000+00:00;;False;;;;Human Resources and Organization;;72;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;medewerkers
Spoorlengte-types op hoofdsporen;"<p>Kilometers hoofdsporen per type, korte spoorstaven of langgerekte sporen (LGS).</p>

<p>Dankzij  de  technische  vooruitgang  van  de  fabricatie  en  de  ervaring  opgedaan  bij  het  aanleggen  van sporen, werd de lengte van de spoorstaven groter en groter.</p>

<p>Door  elektrische  stomplassing  worden spoorstaven  van  grotere  lengte  vervaardigd  (aanvankelijk  54  m  en  later  de  zogenaamde  langgelaste spoorstaven (LGS) met een lengte tot 300 m).</p>";Infrastructuur;Sporen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:32.427000+00:00;True;True;2023-03-22T08:38:28+00:00;2024-02-01T02:24:10.785000+00:00;world_be;True;Belgium;;;Assets Management;;34;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;km_longscourts
Veiligheid voorlopers - jaarlijks;<p>Veiligheidsincidenten die tot ongevallen kunnen leiden. Dit zijn de Voorlopers ISI (Infrabel Safety Indicators) die Infrabel gebruikt om de spoorveiligheid te evalueren en zijn doelstellingen te bepalen.</p>;Veiligheid;Incidenten,Seinvoorbijrijding,Spoorlopers;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:28.435000+00:00;True;True;2023-05-05T10:22:05+00:00;2024-02-01T02:24:09.831000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;12;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;veiligheid-voorlopers
Stiptheid van IC-relatie per moment;<p>Maandelijkse stiptheid van IC-relaties per moment bij aankomst op hun eindbestemming. Voor de treinen die door de Brusselse Noord-Zuid verbinding rijden, geldt het eerste station van de verbinding dat zij op hun reisweg aandoen. </p><p>Een trein wordt als stipt beschouwd als hij met minder dan 6 minuten vertraging in het station aankomt.</p>;Traffic beheer;Stiptheid,Reizigers,Binnenlandse treinen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T10:04:57+00:00;2024-02-01T02:24:06.297000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;27950;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;stiptheid-van-ic-relatie-per-moment
Studie Railspect 2019;"<p>
	De studie Railspect werd gemaakt door 
	<a href=""https://www.gfk.com/en-be/"">GfK</a> na aanvraag van Infrabel en gebeurde bij 1.000 Belgen, die in de buurt van een overweg wonen en/of die af en toe met de trein reizen.</p><p>
	<img alt=""logo Railspect"" src=""/assets/theme_image/Infrabel_logo_Railspect.png"" style=""width: 300px; height: auto; ""/></p><p>
	In het kader van de problematiek rond stiptheid en veiligheid, wilde Infrabel het maatschappelijk gedragsprobleem rond spoorlopen en onvoorzichtig gedrag aan de spoorwegen beter begrijpen.</p><p>
	Focus op 3 deelvragen:</p><ol>
	<li>Wie doet dit? </li>	<li>Welke risico’s nemen ze juist? </li>	<li>Waarom nemen ze deze risico’s? </li></ol><p>
	De documenten in de hieronder bijlage van deze dataset geven:</p><ul>
	<li>De presentatie van de cijfers en van het Nationale Actieplan Railspect aan de pers op 25 maart 2019</li>	<li>Het Excel-bestand met alle gestelde vragen en antwoorden van de studie</li></ul><h3>De presentatie van het Nationale Actieplan Railspect</h3><p>
	Met de steun van de overheid, de spoorwegpolitie en Securail lanceert Infrabel “Railspect”, een nationaal actieplan om gevaarlijk gedrag op het Belgische spoorwegdomein aan te pakken. Dit plan stelt verschillende acties voor die gebaseerd zijn op een profilage van gevaarlijke gedrag dicht bij de sporen en overwegen. Deze profilering werd gemaakt op basis van een selectie van 1.000 personen op het online 
	<a href=""https://www.gfk.com/en-be/"">GfK</a> panel.</p><p>
	De presentatie geeft de analyse uit de resultaten van de interviews en de planning van de sensibiliseringsacties in 2019.</p><h3>Het Excel-bestand</h3><p>
	Dit document geeft de ruwe gegevens van de antwoorden op het enquête. Daarin vind je drie spreadsheets:</p><ul>
	<li><strong>De index</strong> geeft het overzicht van alle informatie en vragen van de volgende pagina's.</li>	<li><strong>BG (Between group)</strong> geeft het aantal antwoorden en de vergelijking in de groep (kleuren) en met de andere groepen (letters).</li>	<li><strong>NoBG</strong> geeft het aantal antwoorden zonder info over de vergelijking tussen de groepen.</li></ul><hr id=""horizontalrule""/>
<p><a href=""https://infrabel.be/nl/veiligheid-aan-overwegen"">
Op onze corporate website, vind je de laatste info over onze sensibiliseringscampagne tegen ongevallen aan overwegen.</a>
	</p>";Veiligheid;Veiligheid,Overweg,Spoorlopers;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:16.480000+00:00;True;False;;2024-02-01T02:24:26.160000+00:00;world_be;True;Belgium;;;Corporate and Public Affairs;;0;Infrabel;;;;;;True;;;Ad-hoc;studie-railspect-2019
Toewijzing afgeschafte treinen per maand;"<p><span style=""background-color: initial;"">Maandelijkse gegevens van het aantal </span>afgeschafte treinen op het Infrabel netwerk, opgedeeld per verantwoordelijke.</p><p>Als onafhankelijk infrastructuurbeheerder en beheerder van het treinverkeer zorgt Infrabel voor een correcte toewijzing van de oorzaken van vertragingen. Hiervoor bestaan grosso modo drie hoofdcategorieën: Infrabel, een spoorwegonderneming of derden. Indien een partij het niet eens is met de toegewezen verantwoordelijkheid, wordt de daartoe opgerichte, neutrale bemiddelingsdienst van Infrabel ingeschakeld.</p><p>Het is daardoor soms mogelijk dat er nog heel lichte veranderingen in de cijfers kunnen zijn na de toewijzingen.</p>";Traffic beheer;Stiptheid,Afgeschafte treinen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T10:07:29+00:00;2024-02-01T02:24:18.483000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;288;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;toewijzing-afgeschafte-treinen
Woon-werkafstand;<p>Aantal actieve werknemers per schijf van 10km tussen de woonplaats en de werkplaats </p>;Human resources;Human resources;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:59.532000+00:00;True;True;2022-06-28T16:29:27+00:00;2024-02-01T02:24:21.832000+00:00;world_be;True;Belgium;;;Human Resources and Organization;;144;Infrabel;;;;;;True;;;Driemaandelijks - Trimestriel - Quarterly;data_hr_d07_afstand-huis-werk
Spoorlopers;"<p>
	Spoorlopers zijn mensen die langs of op het spoor lopen. Spoorlopen is levensgevaarlijk en schadelijk voor de stiptheid. Infrabel is volop bezig met het beveiligen van de gevoeligste punten en het voorzien van verschillende technische en infrastructurele maatregelen tegen spoorlopen : </p><ul><li style=""box-sizing: inherit;"">struikelmatten die het door hun oneffenheid onmogelijk maken om het spoor over te steken;</li><li style=""box-sizing: inherit;"">omheiningen rond gevoelige zones;</li><li style=""box-sizing: inherit;"">verbodsborden aan de perronrand, die een ontmoedigend effect hebben;</li><li style=""box-sizing: inherit;"">camera's langs de sporen waarmee we spoorlopers kunnen opmerken;</li><li style=""box-sizing: inherit;"">sensibiliseringscampagnes om het grote publiek en specifieke doelgroepen bewust te maken van de talloze gevaren en gevolgen van spoorlopen<br/></li></ul><p>
	<a href=""https://www.infrabel.be/nl/veiligheid#spoorlopen"">Meer info op onze corporate site.</a></p><p>
	Spoorlopers zijn een van de veiligheid voorlopers, 
	<a href=""https://infrabel.opendatasoft.com/explore/dataset/veiligheid-voorlopers"">meer info in de bepaalde dataset</a>.</p>";Veiligheid;Incidents,Spoorlopers;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:53.366000+00:00;True;True;2023-05-05T10:14:32+00:00;2024-02-01T02:24:18.489000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;11;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;spoorlopers
