Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/minder dan 1 keer per maand (%),Meerdere keren per maand (%),Minstens wekelijks (%),Dagelijks (%)
 Melle ,44040,nee,Actief bewegen,2020,0.09,0.2,0.42,0.29
 Menen ,34027,nee,Actief bewegen,2020,0.14,0.2,0.4,0.26
 Merchtem ,23052,nee,Actief bewegen,2020,0.09,0.23,0.46,0.22
 Merelbeke ,44043,nee,Actief bewegen,2020,0.12,0.19,0.49,0.2
 Merksplas ,13023,nee,Actief bewegen,2020,0.09,0.18,0.49,0.24
 Mesen ,33016,nee,Actief bewegen,2020,0.2,0.24,0.35,0.21
 Meulebeke ,37007,nee,Actief bewegen,2020,0.16,0.22,0.39,0.24
 Middelkerke ,35011,nee,Actief bewegen,2020,0.13,0.16,0.35,0.36
 Moerbeke ,44045,nee,Actief bewegen,2020,0.11,0.19,0.44,0.26
 Mol ,13025,nee,Actief bewegen,2020,0.1,0.19,0.48,0.24
 Moorslede ,36012,nee,Actief bewegen,2020,0.15,0.23,0.42,0.19
 Mortsel ,11029,nee,Actief bewegen,2020,0.06,0.14,0.49,0.32
 Nazareth ,44048,nee,Actief bewegen,2020,0.12,0.21,0.47,0.21
 Niel ,11030,nee,Actief bewegen,2020,0.1,0.23,0.39,0.27
 Nieuwerkerken ,71045,nee,Actief bewegen,2020,0.14,0.23,0.45,0.17
 Nieuwpoort ,38016,nee,Actief bewegen,2020,0.08,0.12,0.4,0.4
 Nijlen ,12026,nee,Actief bewegen,2020,0.13,0.16,0.42,0.3
 Ninove ,41048,nee,Actief bewegen,2020,0.15,0.22,0.45,0.17
 Olen ,13029,nee,Actief bewegen,2020,0.1,0.19,0.45,0.25
 Oostende ,35013,ja,Actief bewegen,2017,0.1,0.15,0.41,0.34
 Oostende ,35013,ja,Actief bewegen,2020,0.08,0.14,0.44,0.34
 Oosterzele ,44052,nee,Actief bewegen,2020,0.13,0.22,0.46,0.19
 Oostkamp ,31022,nee,Actief bewegen,2020,0.11,0.19,0.42,0.27
 Oostrozebeke ,37010,nee,Actief bewegen,2020,0.1,0.27,0.42,0.2
 Opwijk ,23060,nee,Actief bewegen,2020,0.1,0.18,0.5,0.22
 Oudenaarde ,45035,nee,Actief bewegen,2020,0.16,0.23,0.41,0.21
 Oudenburg ,35014,nee,Actief bewegen,2020,0.12,0.2,0.43,0.25
 Oud-Heverlee ,24086,nee,Actief bewegen,2020,0.11,0.15,0.54,0.19
 Oudsbergen ,72042,nee,Actief bewegen,2020,0.1,0.21,0.47,0.21
 Oud-Turnhout ,13031,nee,Actief bewegen,2020,0.1,0.15,0.53,0.23
 Overijse ,23062,nee,Actief bewegen,2020,0.08,0.21,0.48,0.23
 Peer ,72030,nee,Actief bewegen,2020,0.13,0.17,0.44,0.27
 Pelt ,72043,nee,Actief bewegen,2020,0.1,0.11,0.53,0.26
 Pepingen ,23064,nee,Actief bewegen,2020,0.12,0.26,0.49,0.14
 Pittem ,37011,nee,Actief bewegen,2020,0.16,0.22,0.44,0.17
 Poperinge ,33021,nee,Actief bewegen,2020,0.13,0.19,0.46,0.21
 Putte ,12029,nee,Actief bewegen,2020,0.13,0.19,0.42,0.27
 Puurs-Sint-Amands ,12041,nee,Actief bewegen,2020,0.11,0.17,0.53,0.18
 Ranst ,11035,nee,Actief bewegen,2020,0.08,0.16,0.47,0.29
 Ravels ,13035,nee,Actief bewegen,2020,0.11,0.22,0.43,0.24
 Retie ,13036,nee,Actief bewegen,2020,0.1,0.21,0.46,0.22
 Riemst ,73066,nee,Actief bewegen,2020,0.1,0.19,0.46,0.25
 Rijkevorsel ,13037,nee,Actief bewegen,2020,0.11,0.2,0.46,0.23
 Roeselare ,36015,ja,Actief bewegen,2017,0.17,0.24,0.37,0.23
 Roeselare ,36015,ja,Actief bewegen,2020,0.1,0.21,0.46,0.23
 Ronse ,45041,nee,Actief bewegen,2020,0.16,0.18,0.43,0.23
 Roosdaal ,23097,nee,Actief bewegen,2020,0.18,0.24,0.42,0.16
 Rotselaar ,24094,nee,Actief bewegen,2020,0.08,0.16,0.5,0.25
 Ruiselede ,37012,nee,Actief bewegen,2020,0.14,0.26,0.38,0.21
 Rumst ,11037,nee,Actief bewegen,2020,0.13,0.21,0.48,0.18
 Schelle ,11038,nee,Actief bewegen,2020,0.09,0.16,0.5,0.25
 Scherpenheuvel-Zichem ,24134,nee,Actief bewegen,2020,0.13,0.2,0.44,0.23
 Schilde ,11039,nee,Actief bewegen,2020,0.09,0.22,0.47,0.22
 Schoten ,11040,nee,Actief bewegen,2020,0.1,0.15,0.44,0.31
 Sint-Genesius-Rode ,23101,nee,Actief bewegen,2020,0.12,0.15,0.46,0.27
 Sint-Gillis-Waas ,46020,nee,Actief bewegen,2020,0.1,0.16,0.47,0.26
 Sint-Katelijne-Waver ,12035,nee,Actief bewegen,2020,0.1,0.19,0.43,0.27
 Sint-Laureins ,43014,nee,Actief bewegen,2020,0.15,0.2,0.45,0.2
 Sint-Lievens-Houtem ,41063,nee,Actief bewegen,2020,0.2,0.21,0.45,0.15
 Sint-Martens-Latem ,44064,nee,Actief bewegen,2020,0.08,0.17,0.54,0.21
 Sint-Niklaas ,46021,ja,Actief bewegen,2017,0.16,0.19,0.4,0.25
 Sint-Niklaas ,46021,ja,Actief bewegen,2020,0.11,0.18,0.41,0.3
 Sint-Pieters-Leeuw ,23077,nee,Actief bewegen,2020,0.18,0.14,0.48,0.2
 Sint-Truiden ,71053,nee,Actief bewegen,2020,0.12,0.2,0.45,0.23
 Spiere-Helkijn ,34043,nee,Actief bewegen,2020,0.15,0.25,0.4,0.2
 Stabroek ,11044,nee,Actief bewegen,2020,0.11,0.21,0.41,0.28
 Staden ,36019,nee,Actief bewegen,2020,0.12,0.23,0.44,0.21
 Steenokkerzeel ,23081,nee,Actief bewegen,2020,0.16,0.19,0.44,0.21
 Stekene ,46024,nee,Actief bewegen,2020,0.14,0.16,0.48,0.23
 Temse ,46025,nee,Actief bewegen,2020,0.12,0.2,0.42,0.26
 Ternat ,23086,nee,Actief bewegen,2020,0.13,0.2,0.46,0.22
 Tervuren ,24104,nee,Actief bewegen,2020,0.04,0.13,0.53,0.29
 Tessenderlo ,71057,nee,Actief bewegen,2020,0.16,0.18,0.47,0.2
 Tielt ,37015,nee,Actief bewegen,2020,0.11,0.22,0.45,0.22
 Tielt-Winge ,24135,nee,Actief bewegen,2020,0.13,0.18,0.49,0.2
 Tienen ,24107,nee,Actief bewegen,2020,0.12,0.13,0.49,0.25
 Tongeren ,73083,nee,Actief bewegen,2020,0.13,0.15,0.46,0.26
 Torhout ,31033,nee,Actief bewegen,2020,0.12,0.2,0.43,0.25
 Tremelo ,24109,nee,Actief bewegen,2020,0.11,0.22,0.42,0.25
 Turnhout ,13040,ja,Actief bewegen,2017,0.12,0.17,0.42,0.28
 Turnhout ,13040,ja,Actief bewegen,2020,0.1,0.18,0.44,0.28
 Veurne ,38025,nee,Actief bewegen,2020,0.11,0.22,0.46,0.21
 Vilvoorde ,23088,nee,Actief bewegen,2020,0.11,0.22,0.45,0.22
 Vleteren ,33041,nee,Actief bewegen,2020,0.19,0.24,0.39,0.17
 Voeren ,73109,nee,Actief bewegen,2020,0.11,0.17,0.45,0.26
 Vorselaar ,13044,nee,Actief bewegen,2020,0.09,0.17,0.46,0.28
 Vosselaar ,13046,nee,Actief bewegen,2020,0.1,0.17,0.46,0.26
 Waasmunster ,42023,nee,Actief bewegen,2020,0.13,0.22,0.47,0.18
 Wachtebeke ,44073,nee,Actief bewegen,2020,0.12,0.22,0.45,0.21
 Waregem ,34040,nee,Actief bewegen,2020,0.12,0.16,0.53,0.19
 Wellen ,73098,nee,Actief bewegen,2020,0.09,0.22,0.47,0.22
 Wemmel ,23102,nee,Actief bewegen,2020,0.12,0.16,0.47,0.25
 Wervik ,33029,nee,Actief bewegen,2020,0.15,0.21,0.4,0.24
 Westerlo ,13049,nee,Actief bewegen,2020,0.1,0.18,0.5,0.22
 Wetteren ,42025,nee,Actief bewegen,2020,0.16,0.19,0.42,0.24
 Wevelgem ,34041,nee,Actief bewegen,2020,0.14,0.18,0.42,0.25
 Wezembeek-Oppem ,23103,nee,Actief bewegen,2020,0.1,0.18,0.52,0.2
 Wichelen ,42026,nee,Actief bewegen,2020,0.15,0.23,0.46,0.16
 Wielsbeke ,37017,nee,Actief bewegen,2020,0.15,0.25,0.45,0.15
 Wijnegem ,11050,nee,Actief bewegen,2020,0.11,0.13,0.5,0.26
 Willebroek ,12040,nee,Actief bewegen,2020,0.1,0.2,0.46,0.24
 Wingene ,37018,nee,Actief bewegen,2020,0.16,0.26,0.38,0.2
 Wommelgem ,11052,nee,Actief bewegen,2020,0.12,0.19,0.46,0.24
 Wortegem-Petegem ,45061,nee,Actief bewegen,2020,0.15,0.26,0.46,0.13
 Wuustwezel ,11053,nee,Actief bewegen,2020,0.13,0.17,0.46,0.25
 Zandhoven ,11054,nee,Actief bewegen,2020,0.13,0.18,0.5,0.19
 Zaventem ,23094,nee,Actief bewegen,2020,0.11,0.19,0.47,0.24
 Zedelgem ,31040,nee,Actief bewegen,2020,0.13,0.22,0.49,0.16
 Zele ,42028,nee,Actief bewegen,2020,0.12,0.22,0.41,0.26
 Zelzate ,43018,nee,Actief bewegen,2020,0.14,0.21,0.42,0.23
 Zemst ,23096,nee,Actief bewegen,2020,0.11,0.19,0.45,0.25
 Zoersel ,11055,nee,Actief bewegen,2020,0.1,0.18,0.49,0.23
 Zonhoven ,71066,nee,Actief bewegen,2020,0.11,0.23,0.43,0.23
 Zonnebeke ,33037,nee,Actief bewegen,2020,0.19,0.24,0.4,0.17
 Zottegem ,41081,nee,Actief bewegen,2020,0.13,0.22,0.49,0.16
 Zoutleeuw ,24130,nee,Actief bewegen,2020,0.12,0.23,0.44,0.21
 Zuienkerke ,31042,nee,Actief bewegen,2020,0.15,0.22,0.4,0.23
 Zulte ,44081,nee,Actief bewegen,2020,0.14,0.27,0.38,0.2
 Zutendaal ,71067,nee,Actief bewegen,2020,0.1,0.15,0.5,0.25
 Zwalm ,45065,nee,Actief bewegen,2020,0.14,0.25,0.42,0.18
 Zwevegem ,34042,nee,Actief bewegen,2020,0.13,0.24,0.42,0.21
 Zwijndrecht ,11056,nee,Actief bewegen,2020,0.1,0.15,0.45,0.3
13 centrumsteden,/,/,Actief bewegen,2017,0.12,0.17,0.41,0.29
13 centrumsteden,/,/,Actief bewegen,2020,0.09,0.16,0.45,0.29
Gemeenten groter dan 50.000 inw.,/,/,Actief bewegen,2020,0.09,0.16,0.45,0.3
Gemeenten kleiner dan 10.000 inw.,/,/,Actief bewegen,2020,0.13,0.21,0.45,0.2
Gemeenten van 10.000 tot 20.000 inw.,/,/,Actief bewegen,2020,0.12,0.2,0.45,0.23
Gemeenten van 20.000 tot 30.000 inw.,/,/,Actief bewegen,2020,0.12,0.19,0.46,0.24
Gemeenten van 30.000 tot 50.000 inw.,/,/,Actief bewegen,2020,0.12,0.18,0.46,0.23
Vlaams Gewest,/,/,Actief bewegen,2020,0.12,0.18,0.46,0.25
