Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over ouderenvoorzieningen,2011,0.12,0.21,0.67
 Aalst ,41002,ja,Tevredenheid over ouderenvoorzieningen,2014,0.1,0.23,0.67
 Aalst ,41002,ja,Tevredenheid over ouderenvoorzieningen,2017,0.07,0.2,0.73
 Aalst ,41002,ja,Tevredenheid over ouderenvoorzieningen,2020,0.09,0.21,0.7
 Aalter ,44001,nee,Tevredenheid over ouderenvoorzieningen,2017,0.02,0.08,0.9
 Aalter ,44084,nee,Tevredenheid over ouderenvoorzieningen,2020,0.03,0.16,0.81
 Aarschot ,24001,nee,Tevredenheid over ouderenvoorzieningen,2017,0.05,0.19,0.76
 Aarschot ,24001,nee,Tevredenheid over ouderenvoorzieningen,2020,0.07,0.22,0.72
 Aartselaar ,11001,nee,Tevredenheid over ouderenvoorzieningen,2017,0.06,0.19,0.75
 Aartselaar ,11001,nee,Tevredenheid over ouderenvoorzieningen,2020,0.05,0.18,0.76
 Affligem ,23105,nee,Tevredenheid over ouderenvoorzieningen,2017,0.13,0.22,0.65
 Affligem ,23105,nee,Tevredenheid over ouderenvoorzieningen,2020,0.07,0.23,0.7
 Alken ,73001,nee,Tevredenheid over ouderenvoorzieningen,2017,0.07,0.2,0.73
 Alken ,73001,nee,Tevredenheid over ouderenvoorzieningen,2020,0.02,0.09,0.88
 Alveringem ,38002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.08,0.18,0.74
 Alveringem ,38002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.1,0.18,0.72
 Antwerpen ,11002,ja,Tevredenheid over ouderenvoorzieningen,2011,0.1,0.23,0.67
 Antwerpen ,11002,ja,Tevredenheid over ouderenvoorzieningen,2014,0.08,0.23,0.68
 Antwerpen ,11002,ja,Tevredenheid over ouderenvoorzieningen,2017,0.08,0.21,0.71
 Antwerpen ,11002,ja,Tevredenheid over ouderenvoorzieningen,2020,0.08,0.21,0.71
 Anzegem ,34002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.11,0.26,0.63
 Anzegem ,34002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.07,0.18,0.75
 Ardooie ,37020,nee,Tevredenheid over ouderenvoorzieningen,2017,0.03,0.14,0.83
 Ardooie ,37020,nee,Tevredenheid over ouderenvoorzieningen,2020,0.03,0.12,0.85
 Arendonk ,13001,nee,Tevredenheid over ouderenvoorzieningen,2017,0.03,0.17,0.79
 Arendonk ,13001,nee,Tevredenheid over ouderenvoorzieningen,2020,0.03,0.11,0.86
 As ,71002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.07,0.18,0.75
 As ,71002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.06,0.15,0.79
 Asse ,23002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.08,0.2,0.72
 Asse ,23002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.11,0.26,0.62
 Assenede ,43002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.08,0.21,0.71
 Assenede ,43002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.04,0.19,0.77
 Avelgem ,34003,nee,Tevredenheid over ouderenvoorzieningen,2017,0.04,0.13,0.83
 Avelgem ,34003,nee,Tevredenheid over ouderenvoorzieningen,2020,0.06,0.12,0.82
 Baarle-Hertog ,13002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.37,0.32,0.31
 Baarle-Hertog ,13002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.37,0.26,0.37
 Balen ,13003,nee,Tevredenheid over ouderenvoorzieningen,2017,0.07,0.17,0.76
 Balen ,13003,nee,Tevredenheid over ouderenvoorzieningen,2020,0.05,0.2,0.75
 Beernem ,31003,nee,Tevredenheid over ouderenvoorzieningen,2017,0.07,0.15,0.77
 Beernem ,31003,nee,Tevredenheid over ouderenvoorzieningen,2020,0.04,0.15,0.81
 Beerse ,13004,nee,Tevredenheid over ouderenvoorzieningen,2017,0.06,0.15,0.8
 Beerse ,13004,nee,Tevredenheid over ouderenvoorzieningen,2020,0.08,0.15,0.77
 Beersel ,23003,nee,Tevredenheid over ouderenvoorzieningen,2017,0.1,0.23,0.67
 Beersel ,23003,nee,Tevredenheid over ouderenvoorzieningen,2020,0.11,0.24,0.65
 Begijnendijk ,24007,nee,Tevredenheid over ouderenvoorzieningen,2017,0.18,0.25,0.57
 Begijnendijk ,24007,nee,Tevredenheid over ouderenvoorzieningen,2020,0.1,0.32,0.58
 Bekkevoort ,24008,nee,Tevredenheid over ouderenvoorzieningen,2017,0.13,0.25,0.62
 Bekkevoort ,24008,nee,Tevredenheid over ouderenvoorzieningen,2020,0.19,0.3,0.51
 Beringen ,71004,nee,Tevredenheid over ouderenvoorzieningen,2017,0.05,0.17,0.78
 Beringen ,71004,nee,Tevredenheid over ouderenvoorzieningen,2020,0.06,0.15,0.79
 Berlaar ,12002,nee,Tevredenheid over ouderenvoorzieningen,2017,0.02,0.14,0.84
 Berlaar ,12002,nee,Tevredenheid over ouderenvoorzieningen,2020,0.03,0.11,0.86
 Berlare ,42003,nee,Tevredenheid over ouderenvoorzieningen,2017,0.06,0.17,0.77
 Berlare ,42003,nee,Tevredenheid over ouderenvoorzieningen,2020,0.07,0.18,0.75
 Bertem ,24009,nee,Tevredenheid over ouderenvoorzieningen,2017,0.1,0.23,0.67
 Bertem ,24009,nee,Tevredenheid over ouderenvoorzieningen,2020,0.12,0.21,0.67
