,Datum,Totaal aantal patiënten in ICU
1121,2023-04-01,104.0
1122,2023-04-02,105.0
1123,2023-04-03,109.0
1124,2023-04-04,106.0
1125,2023-04-05,96.0
1126,2023-04-06,93.0
1127,2023-04-07,79.0
1128,2023-04-08,75.0
1129,2023-04-09,76.0
1130,2023-04-10,77.0
1131,2023-04-11,86.0
1132,2023-04-12,76.0
1133,2023-04-13,75.0
1134,2023-04-14,79.0
1135,2023-04-15,68.0
1136,2023-04-16,68.0
1137,2023-04-17,74.0
1138,2023-04-18,75.0
1139,2023-04-19,73.0
1140,2023-04-20,61.0
1141,2023-04-21,60.0
1142,2023-04-22,64.0
1143,2023-04-23,59.0
1144,2023-04-24,59.0
1145,2023-04-25,59.0
1146,2023-04-26,50.0
1147,2023-04-27,50.0
1148,2023-04-28,49.0
1149,2023-04-29,43.0
1150,2023-04-30,47.0
1151,2023-05-01,49.0
1152,2023-05-02,44.0
1153,2023-05-03,50.0
1154,2023-05-04,50.0
1155,2023-05-05,45.0
1156,2023-05-06,43.0
1157,2023-05-07,46.0
1158,2023-05-08,48.0
1159,2023-05-09,40.0
1160,2023-05-10,36.0
1161,2023-05-11,35.0
1162,2023-05-12,30.0
1163,2023-05-13,38.0
1164,2023-05-14,40.0
1165,2023-05-15,42.0
1166,2023-05-16,41.0
1167,2023-05-17,0.0
1168,2023-05-18,0.0
1169,2023-05-19,0.0
1170,2023-05-20,0.0
1171,2023-05-21,0.0
1172,2023-05-22,0.0
1173,2023-05-23,28.0
1174,2023-05-24,0.0
1175,2023-05-25,0.0
1176,2023-05-26,0.0
1177,2023-05-27,0.0
1178,2023-05-28,0.0
1179,2023-05-29,0.0
1180,2023-05-30,25.0
1181,2023-05-31,0.0
1182,2023-06-01,0.0
1183,2023-06-02,0.0
1184,2023-06-03,0.0
1185,2023-06-04,0.0
1186,2023-06-05,0.0
1187,2023-06-06,20.0
1188,2023-06-07,0.0
1189,2023-06-08,0.0
1190,2023-06-09,0.0
1191,2023-06-10,0.0
1192,2023-06-11,0.0
1193,2023-06-12,0.0
1194,2023-06-13,19.0
