Datum,Bevestigde besmettingen,Zevendaags lopende gemiddelde
2022-11-14,1156,621.0
2022-11-15,932,624.0
2022-11-16,915,639.0
2022-11-17,863,660.0
2022-11-18,850,753.0
2022-11-19,393,759.0
2022-11-20,220,761.0
2022-11-21,1446,803.0
2022-11-22,1149,834.0
2022-11-23,1189,873.0
2022-11-24,1173,917.0
2022-11-25,1080,950.0
2022-11-26,506,966.0
2022-11-27,279,975.0
2022-11-28,1968,1049.0
2022-11-29,1455,1093.0
2022-11-30,1430,1127.0
2022-12-01,1317,1148.0
2022-12-02,1215,1167.0
2022-12-03,550,1173.0
2022-12-04,316,1179.0
2022-12-05,2099,1197.0
2022-12-06,1804,1247.0
2022-12-07,1763,1295.0
2022-12-08,1611,1337.0
2022-12-09,1567,1387.0
2022-12-10,677,1405.0
2022-12-11,431,1422.0
2022-12-12,2374,1461.0
2022-12-13,1803,1461.0
2022-12-14,1817,1469.0
2022-12-15,1585,1465.0
2022-12-16,1434,1446.0
2022-12-17,648,1442.0
2022-12-18,441,1443.0
2022-12-19,2273,1429.0
2022-12-20,1760,1423.0
2022-12-21,1818,1423.0
2022-12-22,1576,1421.0
2022-12-23,1337,1408.0
2022-12-24,554,1394.0
2022-12-25,360,1383.0
2022-12-26,1268,1239.0
2022-12-27,1178,1156.0
2022-12-28,1049,1046.0
2022-12-29,1023,967.0
2022-12-30,943,911.0
2022-12-31,396,888.0
2023-01-01,224,869.0
2023-01-02,1119,847.0
2023-01-03,842,799.0
2023-01-04,747,756.0
2023-01-05,692,709.0
2023-01-06,662,669.0
2023-01-07,243,647.0
2023-01-08,171,639.0
2023-01-09,827,598.0
2023-01-10,489,547.0
2023-01-11,514,514.0
2023-01-12,421,475.0
2023-01-13,423,441.0
2023-01-14,181,432.0
2023-01-15,151,429.0
2023-01-16,568,392.0
2023-01-17,466,389.0
2023-01-18,388,371.0
2023-01-19,361,363.0
2023-01-20,327,349.0
2023-01-21,158,346.0
2023-01-22,119,341.0
2023-01-23,669,355.0
2023-01-24,535,365.0
2023-01-25,531,386.0
2023-01-26,594,419.0
2023-01-27,561,452.0
2023-01-28,260,467.0
2023-01-29,197,478.0
2023-01-30,1107,541.0
2023-01-31,785,576.0
2023-02-01,881,626.0
2023-02-02,829,660.0
2023-02-03,771,690.0
2023-02-04,357,704.0
2023-02-05,223,708.0
2023-02-06,1513,766.0
2023-02-07,1039,802.0
2023-02-08,1005,820.0
2023-02-09,1085,856.0
2023-02-10,986,887.0
2023-02-11,449,900.0
2023-02-12,342,917.0
2023-02-13,2085,999.0
2023-02-14,1507,1066.0
2023-02-15,1508,1137.0
2023-02-16,1495,1196.0
2023-02-17,1427,1259.0
2023-02-18,595,1280.0
2023-02-19,401,1288.0
2023-02-20,2336,1324.0
2023-02-21,1742,1358.0
2023-02-22,1628,1375.0
2023-02-23,1567,1385.0
2023-02-24,1462,1390.0
2023-02-25,626,1395.0
2023-02-26,418,1397.0
2023-02-27,2625,1438.0
2023-02-28,1869,1456.0
2023-03-01,1758,1475.0
2023-03-02,1792,1507.0
2023-03-03,1688,1539.0
2023-03-04,669,1546.0
2023-03-05,503,1558.0
2023-03-06,3060,1620.0
2023-03-07,2286,1679.0
2023-03-08,2041,1720.0
2023-03-09,2040,1755.0
2023-03-10,1884,1783.0
2023-03-11,693,1787.0
2023-03-12,468,1782.0
2023-03-13,2972,1769.0
2023-03-14,2182,1754.0
2023-03-15,1891,1733.0
2023-03-16,1801,1699.0
2023-03-17,1566,1653.0
2023-03-18,675,1651.0
2023-03-19,395,1640.0
2023-03-20,2442,1565.0
2023-03-21,1824,1513.0
2023-03-22,1554,1465.0
2023-03-23,1573,1433.0
2023-03-24,1386,1407.0
2023-03-25,517,1384.0
2023-03-26,360,1379.0
2023-03-27,1688,1272.0
2023-03-28,1286,1195.0
2023-03-29,1186,1142.0
2023-03-30,1041,1066.0
2023-03-31,964,1006.0
2023-04-01,391,988.0
2023-04-02,244,971.0
2023-04-03,1222,905.0
2023-04-04,888,848.0
2023-04-05,796,792.0
2023-04-06,719,746.0
2023-04-07,704,709.0
2023-04-08,302,696.0
2023-04-09,215,692.0
2023-04-10,238,552.0
2023-04-11,937,559.0
2023-04-12,781,557.0
2023-04-13,593,539.0
2023-04-14,563,518.0
2023-04-15,250,511.0
2023-04-16,194,508.0
2023-04-17,783,586.0
2023-04-18,508,525.0
2023-04-19,513,486.0
2023-04-20,480,470.0
2023-04-21,420,450.0
2023-04-22,179,440.0
2023-04-23,126,430.0
2023-04-24,594,403.0
2023-04-25,486,400.0
2023-04-26,416,386.0
2023-04-27,341,366.0
2023-04-28,301,349.0
2023-04-29,152,345.0
2023-04-30,135,346.0
2023-05-01,135,281.0
2023-05-02,414,271.0
2023-05-03,317,256.0
2023-05-04,263,245.0
2023-05-05,275,242.0
2023-05-06,130,238.0
2023-05-07,103,234.0
2023-05-08,308,259.0
2023-05-09,272,238.0
2023-05-10,184,219.0
2023-05-11,159,204.0
2023-05-12,167,189.0
2023-05-13,76,181.0
2023-05-14,72,177.0
2023-05-15,228,165.0
2023-05-16,197,155.0
2023-05-17,174,153.0
2023-05-18,56,139.0
2023-05-19,133,134.0
2023-05-20,84,135.0
2023-05-21,57,133.0
2023-05-22,230,133.0
2023-05-23,131,124.0
2023-05-24,136,118.0
2023-05-25,113,126.0
2023-05-26,103,122.0
2023-05-27,72,120.0
2023-05-28,46,119.0
2023-05-29,47,93.0
2023-05-30,119,91.0
2023-05-31,95,85.0
2023-06-01,77,80.0
2023-06-02,78,76.0
2023-06-03,49,73.0
2023-06-04,36,72.0
