,Datum,Aantal testen,Positieve testresultaten,positiviteitsratio,Negatieve testresultaten
145,2020-07-24,18678,615,3.2926437520077094,18063
146,2020-07-25,14507,330,2.274763907079341,14177
147,2020-07-26,10981,432,3.9340679355249977,10549
148,2020-07-27,14560,322,2.2115384615384617,14238
149,2020-07-28,25521,643,2.5194937502448966,24878
150,2020-07-29,25480,769,3.0180533751962324,24711
151,2020-07-30,26134,840,3.2142037192928754,25294
152,2020-07-31,21530,674,3.130515559684162,20856
153,2020-08-01,20418,574,2.8112449799196786,19844
154,2020-08-02,11695,469,4.010260795211629,11226
155,2020-08-03,16827,456,2.709930468889285,16371
156,2020-08-04,25451,640,2.5146359671525675,24811
157,2020-08-05,26379,1015,3.847757686038136,25364
158,2020-08-06,23195,898,3.8715240353524463,22297
159,2020-08-07,22826,860,3.767633400508193,21966
160,2020-08-08,16668,708,4.2476601871850255,15960
161,2020-08-09,9956,445,4.469666532744074,9511
162,2020-08-10,17036,508,2.98192063864757,16528
163,2020-08-11,25658,878,3.4219346792423417,24780
164,2020-08-12,22073,824,3.733067548588773,21249
165,2020-08-13,21859,786,3.595772908184272,21073
166,2020-08-14,18676,701,3.753480402655815,17975
167,2020-08-15,12981,370,2.8503196980201833,12611
168,2020-08-16,8932,274,3.0676220331392745,8658
169,2020-08-17,17998,494,2.7447494166018447,17504
170,2020-08-18,27111,713,2.6299288111836523,26398
171,2020-08-19,23088,644,2.7893277893277895,22444
172,2020-08-20,23852,948,3.974509475096428,22904
173,2020-08-21,20813,695,3.3392591168980927,20118
174,2020-08-22,15631,536,3.4290832320388973,15095
175,2020-08-23,8529,178,2.0869973033180913,8351
176,2020-08-24,17609,377,2.1409506502356748,17232
177,2020-08-25,27040,675,2.496301775147929,26365
178,2020-08-26,24596,631,2.5654577980159377,23965
179,2020-08-27,21308,552,2.590576309367374,20756
180,2020-08-28,25114,729,2.9027633989010115,24385
181,2020-08-29,19052,575,3.0180558471551544,18477
182,2020-08-30,10600,248,2.339622641509434,10352
183,2020-08-31,19657,367,1.8670193824083021,19290
184,2020-09-01,28223,495,1.7538886723594234,27728
185,2020-09-02,30069,798,2.653896039110047,29271
186,2020-09-03,24017,751,3.126951742515718,23266
187,2020-09-04,26583,845,3.1787232441786104,25738
188,2020-09-05,19740,616,3.120567375886525,19124
189,2020-09-06,10963,406,3.703365867007206,10557
190,2020-09-07,23129,584,2.5249686540706473,22545
191,2020-09-08,35123,773,2.2008370583378416,34350
192,2020-09-09,35047,986,2.8133649099780293,34061
193,2020-09-10,36232,1214,3.3506292779863105,35018
194,2020-09-11,38042,1271,3.341044109142527,36771
195,2020-09-12,27126,1036,3.8192140381921402,26090
196,2020-09-13,19155,814,4.249543200208823,18341
197,2020-09-14,29307,1011,3.4496877879005017,28296
198,2020-09-15,42303,1499,3.5434839136704257,40804
199,2020-09-16,46674,1670,3.5780091699875736,45004
200,2020-09-17,43222,1915,4.4306140391467315,41307
201,2020-09-18,41428,1751,4.226610022207203,39677
202,2020-09-19,26392,1187,4.4975750227341615,25205
203,2020-09-20,21874,1209,5.527109810734205,20665
204,2020-09-21,34932,1780,5.095614336425054,33152
205,2020-09-22,45049,2051,4.552820262380964,42998
206,2020-09-23,44434,2273,5.115452131250843,42161
207,2020-09-24,40555,2226,5.488842312908396,38329
208,2020-09-25,37845,2097,5.5410225921522,35748
209,2020-09-26,32846,1882,5.729769226085368,30964
210,2020-09-27,20108,1218,6.057290630594788,18890
211,2020-09-28,28309,2066,7.2980324278498,26243
212,2020-09-29,47447,2869,6.046746896537189,44578
213,2020-09-30,45996,2984,6.487520653969911,43012
214,2020-10-01,41112,3746,9.111694882272815,37366
215,2020-10-02,41148,3786,9.200933216681248,37362
216,2020-10-03,33583,2940,8.75442932436054,30643
217,2020-10-04,17641,1710,9.693328042627968,15931
218,2020-10-05,26934,2657,9.864854830325982,24277
219,2020-10-06,45178,4605,10.193014298995086,40573
220,2020-10-07,54451,5943,10.914400102844759,48508
221,2020-10-08,50179,6253,12.461388230136112,43926
222,2020-10-09,53778,7066,13.139201904124361,46712
223,2020-10-10,47610,6205,13.032976265490442,41405
224,2020-10-11,30403,4010,13.189487879485576,26393
225,2020-10-12,44561,7293,16.36632930140706,37268
226,2020-10-13,59566,8478,14.23295168384649,51088
227,2020-10-14,72984,11637,15.94459059519895,61347
228,2020-10-15,66278,10362,15.634147077461602,55916
229,2020-10-16,68733,11569,16.831798408333697,57164
230,2020-10-17,61911,10455,16.88714444929011,51456
231,2020-10-18,44720,8365,18.705277280858677,36355
232,2020-10-19,56014,10513,18.76852215517549,45501
233,2020-10-20,78642,15637,19.883777116553496,63005
234,2020-10-21,81011,16563,20.44537161620027,64448
235,2020-10-22,80226,19679,24.529454291626156,60547
236,2020-10-23,69369,18236,26.288399717453043,51133
237,2020-10-24,63863,17516,27.42746191065249,46347
238,2020-10-25,39564,12296,31.0787584672935,27268
239,2020-10-26,50298,16089,31.98735536204223,34209
240,2020-10-27,71727,22009,30.684400574400154,49718
241,2020-10-28,78163,22903,29.301587707738957,55260
242,2020-10-29,71988,20212,28.076901705839862,51776
243,2020-10-30,66049,17738,26.855819164559648,48311
244,2020-10-31,54627,13415,24.557453274022002,41212
245,2020-11-01,24219,6423,26.520500433543916,17796
246,2020-11-02,28946,7298,25.21246458923513,21648
247,2020-11-03,54881,14904,27.15693956013921,39977
248,2020-11-04,45016,11477,25.495379420650437,33539
249,2020-11-05,45737,10150,22.192098301156612,35587
250,2020-11-06,39376,7767,19.72521332791548,31609
251,2020-11-07,32366,7014,21.670889204721004,25352
252,2020-11-08,13328,2798,20.99339735894358,10530
253,2020-11-09,22390,4564,20.384100044662794,17826
254,2020-11-10,39214,8344,21.278114958943235,30870
255,2020-11-11,31808,6206,19.510814889336018,25602
256,2020-11-12,28061,5148,18.345746765974127,22913
257,2020-11-13,37838,7026,18.56863470585126,30812
258,2020-11-14,26487,5080,19.179219994714387,21407
259,2020-11-15,13851,2589,18.69179120641109,11262
260,2020-11-16,21481,3143,14.631534844746522,18338
261,2020-11-17,40670,6169,15.168428817310057,34501
262,2020-11-18,36763,4809,13.081086962435057,31954
263,2020-11-19,35332,4375,12.38254273746179,30957
264,2020-11-20,34450,3893,11.30043541364296,30557
265,2020-11-21,21547,2569,11.92277347194505,18978
266,2020-11-22,10732,1324,12.33693626537458,9408
267,2020-11-23,22533,2382,10.571162295300226,20151
268,2020-11-24,42283,4364,10.320932762575977,37919
269,2020-11-25,37203,3350,9.004650162621294,33853
270,2020-11-26,34176,3225,9.436446629213483,30951
271,2020-11-27,33708,2841,8.428266286934852,30867
272,2020-11-28,25829,2584,10.004258778891943,23245
273,2020-11-29,9634,884,9.175835582312644,8750
274,2020-11-30,23565,2077,8.813918947591768,21488
275,2020-12-01,44483,3726,8.376233617336961,40757
276,2020-12-02,36707,3171,8.638679270983737,33536
277,2020-12-03,34183,3021,8.837726355205804,31162
278,2020-12-04,36261,3056,8.427787430021235,33205
279,2020-12-05,24783,2171,8.760037122220877,22612
280,2020-12-06,10574,993,9.390958955929639,9581
281,2020-12-07,26682,2137,8.009144741773481,24545
282,2020-12-08,46134,3613,7.8315342263840115,42521
283,2020-12-09,41727,3306,7.922927600833993,38421
284,2020-12-10,38364,3155,8.223855698050256,35209
285,2020-12-11,38847,3095,7.967153190722579,35752
286,2020-12-12,30163,2786,9.236481782316083,27377
287,2020-12-13,13696,1233,9.002628504672897,12463
288,2020-12-14,31621,2493,7.884001138483919,29128
289,2020-12-15,53290,4288,8.046537811972227,49002
290,2020-12-16,50948,3649,7.162204600769412,47299
291,2020-12-17,46544,3374,7.249054657958061,43170
292,2020-12-18,42686,3160,7.402895562948039,39526
293,2020-12-19,33067,2582,7.808389028336409,30485
294,2020-12-20,14539,1130,7.772198913267762,13409
295,2020-12-21,32641,2388,7.315952329891854,30253
296,2020-12-22,52117,3764,7.222211562446034,48353
297,2020-12-23,41375,2949,7.12749244712991,38426
298,2020-12-24,37088,2709,7.304249352890422,34379
299,2020-12-25,13169,1038,7.882147467537398,12131
300,2020-12-26,17938,1006,5.608206043037128,16932
301,2020-12-27,13530,985,7.280118255728012,12545
302,2020-12-28,29126,1904,6.5371146055071065,27222
303,2020-12-29,41573,3248,7.812763091429534,38325
304,2020-12-30,32817,2592,7.898345369777859,30225
305,2020-12-31,30601,2174,7.10434299532695,28427
306,2021-01-01,11997,986,8.218721347003417,11011
307,2021-01-02,18677,981,5.252449536863522,17696
308,2021-01-03,17800,1040,5.842696629213483,16760
309,2021-01-04,40473,2065,5.102166876683221,38408
310,2021-01-05,60569,3498,5.775231554095329,57071
311,2021-01-06,55574,3357,6.04059452261849,52217
312,2021-01-07,44543,2500,5.6125541611476555,42043
313,2021-01-08,46688,2308,4.943454420836189,44380
314,2021-01-09,38438,1888,4.9118060252874765,36550
315,2021-01-10,23057,1136,4.926920241141519,21921
316,2021-01-11,44176,2116,4.789931184353495,42060
317,2021-01-12,67378,3367,4.997180088456172,64011
318,2021-01-13,57125,3034,5.311159737417944,54091
319,2021-01-14,43536,2430,5.581587651598677,41106
320,2021-01-15,44127,2482,5.624674235728692,41645
321,2021-01-16,34036,2010,5.905511811023622,32026
322,2021-01-17,16859,1090,6.4653894062518535,15769
323,2021-01-18,37752,1829,4.844776435685526,35923
324,2021-01-19,63597,3550,5.582024309322767,60047
325,2021-01-20,53621,2891,5.391544357621082,50730
326,2021-01-21,45744,2723,5.952693249387898,43021
327,2021-01-22,50900,3056,6.00392927308448,47844
328,2021-01-23,38566,2076,5.382979826790437,36490
329,2021-01-24,21784,1310,6.013587954461991,20474
330,2021-01-25,44412,2244,5.052688462577682,42168
331,2021-01-26,65254,3629,5.561344898397033,61625
332,2021-01-27,62390,3245,5.201154031094727,59145
333,2021-01-28,56085,3176,5.662833199607738,52909
334,2021-01-29,56501,3367,5.9591865630696805,53134
335,2021-01-30,47242,2735,5.789339994073071,44507
336,2021-01-31,22320,1356,6.075268817204301,20964
337,2021-02-01,45953,2272,4.944182099101256,43681
338,2021-02-02,68422,3605,5.268773201601824,64817
339,2021-02-03,60881,2998,4.924360637965868,57883
340,2021-02-04,54346,2984,5.490744489014831,51362
341,2021-02-05,57268,2961,5.17042676538381,54307
342,2021-02-06,42194,2227,5.278001611603546,39967
343,2021-02-07,19231,1042,5.418334979980241,18189
344,2021-02-08,44976,1858,4.131092138029171,43118
345,2021-02-09,60931,3123,5.125469793701072,57808
346,2021-02-10,50075,2506,5.004493260109835,47569
347,2021-02-11,46441,2513,5.4111668568721605,43928
348,2021-02-12,46699,2404,5.1478618385832675,44295
349,2021-02-13,34249,1970,5.751992758912669,32279
350,2021-02-14,16116,958,5.944403077686771,15158
351,2021-02-15,38745,2016,5.203252032520325,36729
352,2021-02-16,49591,3120,6.291464176967596,46471
353,2021-02-17,43439,2791,6.425101866985888,40648
354,2021-02-18,40730,2945,7.230542597593911,37785
355,2021-02-19,42376,2985,7.044081555597508,39391
356,2021-02-20,34224,2460,7.187938288920057,31764
357,2021-02-21,17084,1272,7.445563099976586,15812
358,2021-02-22,40471,2345,5.794272441995503,38126
359,2021-02-23,54999,3705,6.7364861179294175,51294
360,2021-02-24,49263,3357,6.814444918092686,45906
361,2021-02-25,41751,3042,7.286053028669973,38709
362,2021-02-26,47451,3204,6.752228614781563,44247
363,2021-02-27,37829,2483,6.563747389568849,35346
364,2021-02-28,16566,998,6.024387299287698,15568
365,2021-03-01,43497,2222,5.108398280341174,41275
366,2021-03-02,57971,3725,6.425626606406652,54246
367,2021-03-03,51473,3171,6.160511336040255,48302
368,2021-03-04,47117,3219,6.831929027739457,43898
369,2021-03-05,52786,3138,5.944758079793885,49648
370,2021-03-06,39335,2482,6.3099021227914065,36853
371,2021-03-07,17163,1139,6.636368933170192,16024
372,2021-03-08,44052,2538,5.761372922909289,41514
373,2021-03-09,62119,4074,6.5583798837714715,58045
374,2021-03-10,56191,3768,6.705700201099821,52423
375,2021-03-11,51734,3937,7.610082344299688,47797
376,2021-03-12,58379,4013,6.8740471744976785,54366
377,2021-03-13,45927,3314,7.21579898534631,42613
378,2021-03-14,21637,1712,7.912372325183712,19925
379,2021-03-15,49069,3394,6.916790641749373,45675
380,2021-03-16,74480,5572,7.481203007518797,68908
381,2021-03-17,67415,5176,7.677816509678855,62239
382,2021-03-18,67008,5668,8.458691499522446,61340
383,2021-03-19,73727,5459,7.404343049357766,68268
384,2021-03-20,56612,4382,7.740408393980075,52230
385,2021-03-21,28111,2465,8.768809362882857,25646
386,2021-03-22,57461,4068,7.079584413776301,53393
387,2021-03-23,87517,6671,7.622519053441046,80846
388,2021-03-24,80605,6209,7.702996092053843,74396
389,2021-03-25,81764,6682,8.172300768064185,75082
390,2021-03-26,79150,5896,7.44914718888187,73254
391,2021-03-27,66250,5358,8.087547169811321,60892
392,2021-03-28,28744,2431,8.457417200111328,26313
393,2021-03-29,56692,4372,7.71184646863755,52320
394,2021-03-30,81747,6511,7.964818280793179,75236
395,2021-03-31,73944,5832,7.8870496592015575,68112
396,2021-04-01,64389,5058,7.855379024367516,59331
397,2021-04-02,67998,5535,8.139945292508603,62463
398,2021-04-03,46545,4201,9.025674078848427,42344
399,2021-04-04,23832,2332,9.785162806310844,21500
400,2021-04-05,22014,1784,8.103933860270738,20230
401,2021-04-06,48047,4069,8.468790975503152,43978
402,2021-04-07,60366,5530,9.160785872842329,54836
403,2021-04-08,49818,5392,10.823397165683087,44426
404,2021-04-09,48927,5138,10.501359167739693,43789
405,2021-04-10,36338,3626,9.978534867081294,32712
406,2021-04-11,19595,2014,10.278132176575657,17581
407,2021-04-12,41913,3587,8.558203898551762,38326
408,2021-04-13,53668,5432,10.121487664902736,48236
409,2021-04-14,44239,4514,10.203666448156604,39725
410,2021-04-15,42007,4281,10.191158616421072,37726
411,2021-04-16,44389,4463,10.0542927301809,39926
412,2021-04-17,36490,3603,9.87393806522335,32887
413,2021-04-18,20096,1864,9.275477707006369,18232
414,2021-04-19,44407,3711,8.356790596077195,40696
415,2021-04-20,58012,5800,9.997931462456043,52212
416,2021-04-21,49802,4876,9.790771454961648,44926
417,2021-04-22,47724,4204,8.808984997066466,43520
418,2021-04-23,51599,4459,8.64164034186709,47140
419,2021-04-24,38890,2993,7.696065826690666,35897
420,2021-04-25,20996,1632,7.772909125547724,19364
421,2021-04-26,48336,3299,6.825140681893413,45037
422,2021-04-27,58931,4751,8.061970779386062,54180
423,2021-04-28,54539,4108,7.532224646583178,50431
424,2021-04-29,54636,3991,7.304707518852038,50645
425,2021-04-30,57085,3807,6.669002364894455,53278
426,2021-05-01,37609,2525,6.713818500890745,35084
427,2021-05-02,21121,1579,7.475971781639126,19542
428,2021-05-03,50202,3045,6.0654953985896976,47157
429,2021-05-04,65867,4682,7.1082636221476605,61185
430,2021-05-05,60726,3928,6.468399038303198,56798
431,2021-05-06,63620,4172,6.557686262181704,59448
432,2021-05-07,64017,3922,6.126497649061968,60095
433,2021-05-08,43810,2752,6.281670851403789,41058
434,2021-05-09,22620,1550,6.852343059239612,21070
435,2021-05-10,45956,2462,5.35729828531639,43494
436,2021-05-11,65366,3791,5.799651194810758,61575
437,2021-05-12,56897,3342,5.873771903615305,53555
438,2021-05-13,30135,1996,6.623527459764393,28139
439,2021-05-14,40647,2250,5.535463871872462,38397
440,2021-05-15,36101,2187,6.058003933409046,33914
441,2021-05-16,19948,1193,5.980549428514137,18755
442,2021-05-17,41496,2072,4.993252361673414,39424
443,2021-05-18,73991,4271,5.772323660985795,69720
444,2021-05-19,64318,3594,5.587860319039771,60724
445,2021-05-20,59580,3294,5.528700906344411,56286
446,2021-05-21,55461,2894,5.218081174158417,52567
447,2021-05-22,39979,2079,5.200230120813427,37900
448,2021-05-23,21809,1120,5.135494520610757,20689
449,2021-05-24,25088,1021,4.069674744897959,24067
450,2021-05-25,51691,2234,4.321835522624829,49457
451,2021-05-26,64293,3218,5.005210520585445,61075
452,2021-05-27,55286,2634,4.764316463480809,52652
453,2021-05-28,53480,2496,4.667165295437547,50984
454,2021-05-29,37643,1743,4.630342958850251,35900
455,2021-05-30,20898,931,4.454971767633267,19967
456,2021-05-31,49998,1622,3.244129765190608,48376
457,2021-06-01,54512,2215,4.0633255063105365,52297
458,2021-06-02,50607,1846,3.647716719030964,48761
459,2021-06-03,49576,1713,3.455300952073584,47863
460,2021-06-04,49597,1733,3.49416295340444,47864
461,2021-06-05,38541,1118,2.900806932876677,37423
462,2021-06-06,19366,565,2.917484250748735,18801
463,2021-06-07,43169,1064,2.4647316361277767,42105
464,2021-06-08,49988,1479,2.958710090421701,48509
465,2021-06-09,44785,1075,2.4003572624762755,43710
466,2021-06-10,43474,972,2.2358191102728067,42502
467,2021-06-11,44203,1009,2.2826504988349203,43194
468,2021-06-12,34430,716,2.079581760092942,33714
469,2021-06-13,18612,330,1.773049645390071,18282
470,2021-06-14,43430,652,1.5012664057103384,42778
471,2021-06-15,47243,873,1.847892809516754,46370
472,2021-06-16,42937,621,1.4463050515872091,42316
473,2021-06-17,42488,593,1.3956881943136885,41895
474,2021-06-18,45029,533,1.1836816273956783,44496
475,2021-06-19,31765,456,1.43554226349756,31309
476,2021-06-20,20872,275,1.3175546186278266,20597
477,2021-06-21,39593,400,1.0102795948778824,39193
478,2021-06-22,46523,569,1.2230509640392924,45954
479,2021-06-23,45785,465,1.0156164682756361,45320
480,2021-06-24,50828,513,1.0092862201935942,50315
481,2021-06-25,48742,514,1.0545320257683313,48228
482,2021-06-26,39132,389,0.9940713482571808,38743
483,2021-06-27,24134,299,1.2389160520427611,23835
484,2021-06-28,52520,509,0.9691546077684691,52011
485,2021-06-29,70891,683,0.9634509317120651,70208
486,2021-06-30,74959,668,0.891153830760816,74291
487,2021-07-01,82923,1034,1.2469399322262822,81889
488,2021-07-02,81699,850,1.040404411314704,80849
489,2021-07-03,56045,702,1.2525649032027835,55343
490,2021-07-04,33904,520,1.5337423312883436,33384
491,2021-07-05,53837,795,1.476679606961755,53042
492,2021-07-06,60213,1148,1.9065650274857588,59065
493,2021-07-07,65299,1219,1.8667973475857211,64080
494,2021-07-08,76710,1344,1.752053187328901,75366
495,2021-07-09,73154,1361,1.86045875823605,71793
496,2021-07-10,61092,1285,2.103385058600144,59807
497,2021-07-11,36897,917,2.4852969076076645,35980
498,2021-07-12,58699,1405,2.3935671817237094,57294
499,2021-07-13,70555,1787,2.5327758486287295,68768
500,2021-07-14,75247,1592,2.1156989647427804,73655
501,2021-07-15,86996,1528,1.7564025932226768,85468
502,2021-07-16,96027,1671,1.7401355868661939,94356
503,2021-07-17,72603,1483,2.042615318926215,71120
504,2021-07-18,42843,1062,2.4788180099432813,41781
505,2021-07-19,65182,1657,2.5421128532416923,63525
506,2021-07-20,76330,2336,3.0603956504650855,73994
507,2021-07-21,46067,1501,3.258297696832874,44566
508,2021-07-22,70010,1456,2.0797028995857736,68554
509,2021-07-23,78130,2144,2.7441443747600154,75986
510,2021-07-24,55151,1555,2.819531830791826,53596
511,2021-07-25,31067,1066,3.4312936556474716,30001
512,2021-07-26,50864,1583,3.1122208241585403,49281
513,2021-07-27,55980,2142,3.8263665594855305,53838
514,2021-07-28,50628,1834,3.6225013826341157,48794
515,2021-07-29,60162,1825,3.033476280708753,58337
516,2021-07-30,70601,1984,2.8101584963385786,68617
517,2021-07-31,60211,1772,2.9429838401620967,58439
518,2021-08-01,35308,1130,3.200407839583097,34178
519,2021-08-02,55689,1836,3.296880892097183,53853
520,2021-08-03,58533,2424,4.1412536517861716,56109
521,2021-08-04,49772,2192,4.4040826167323,47580
522,2021-08-05,50464,1982,3.927552314521243,48482
523,2021-08-06,57334,2163,3.7726305508075484,55171
524,2021-08-07,50133,1869,3.7280832984261867,48264
525,2021-08-08,29933,1188,3.968863795810644,28745
526,2021-08-09,47740,1887,3.9526602429828235,45853
527,2021-08-10,51649,2796,5.4134639586439235,48853
528,2021-08-11,46890,2395,5.107698869695031,44495
529,2021-08-12,51419,2217,4.3116357766584334,49202
530,2021-08-13,70667,2343,3.315550398347178,68324
531,2021-08-14,56358,2238,3.971042265516874,54120
532,2021-08-15,26486,1067,4.0285433814090466,25419
533,2021-08-16,43474,1860,4.278419285089939,41614
534,2021-08-17,51161,3029,5.920525400207189,48132
535,2021-08-18,45270,2415,5.334658714380384,42855
536,2021-08-19,44968,2416,5.372709482298523,42552
